,genes,description,MF Terms,Receptor/Channel,Kinase/Phosphatase,Ubiquitin/E3,Vesicle/Transporters,GTP/ATP Regulators,Nucleic Acid Binding,Translation,Membrane/Cell Adhesion,Other Regulators,Scaffolds/Adaptors,Cytoskeletal,Calcium Ion Binding,Other Enzymes,Other protein binders,unknown functions,Function Total
16,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]","['Tat protein binding', 'transcription corepressor activity', 'transcription coactivator activity', 'protein N-terminus binding', 'DNA polymerase binding', 'RNA binding', 'ATP binding', 'nucleosomal DNA binding', 'lysine-acetylated histone binding', 'DNA-dependent ATPase activity', 'androgen receptor binding', 'helicase activity', 'p53 binding', 'RNA polymerase I core promoter sequence-specific DNA binding']",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3
17,LRRK2,leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618],"['syntaxin-1 binding', 'magnesium ion binding', 'ion channel binding', 'ATP binding', 'GTP-dependent protein kinase activity', 'co-receptor binding', 'MAP kinase kinase activity', 'peroxidase inhibitor activity', 'signaling receptor complex adaptor activity', 'actin binding', 'GTP binding', 'microtubule binding', 'GTPase activator activity', 'beta-catenin destruction complex binding', 'small GTPase binding', 'protein kinase A binding', 'protein threonine kinase activity', 'GTPase activity', 'clathrin binding', 'protein serine/threonine phosphatase activity', 'protein homodimerization activity', 'protein serine kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868],"['guanyl-nucleotide exchange factor activity', 'ubiquitin protein ligase binding', 'ubiquitin protein ligase activity', 'SUMO binding', 'zinc ion binding']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19,UBC,ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468],"['protease binding', 'ubiquitin protein ligase binding', 'protein tag', 'RNA binding']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22,MYC,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]","['DNA-binding transcription activator activity, RNA polymerase II-specific', 'protein-containing complex binding', 'activating transcription factor binding', 'protein dimerization activity', 'core promoter sequence-specific DNA binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'E-box binding', 'repressing transcription factor binding']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,GABARAPL2,GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291],"['ATPase binding', 'ubiquitin protein ligase binding', 'beta-tubulin binding', 'microtubule binding', 'SNARE binding', 'GABA receptor binding']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]","['phosphatidylinositol binding', 'protein binding', 'inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity', 'calcium ion binding', 'calcium channel inhibitor activity', 'inositol 1,4,5 trisphosphate binding']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,HSPA5,heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238],"['ubiquitin protein ligase binding', 'calcium ion binding', 'ribosome binding', 'protein domain specific binding', 'ATP binding', 'ATPase activity', 'unfolded protein binding', 'protein folding chaperone', 'cadherin binding', 'chaperone binding', 'heat shock protein binding', 'misfolded protein binding']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31,DYNC1H1,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],"['dynein light intermediate chain binding', 'RNA binding', 'ATP binding', 'dynein intermediate chain binding', 'ATP-dependent microtubule motor activity, minus-end-directed']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],"['protein N-terminus binding', 'protein threonine kinase activity', 'ATP binding', 'Hsp90 protein binding', 'identical protein binding', 'protein serine kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,GRB2,growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566],"['protein phosphatase binding', 'epidermal growth factor receptor binding', 'protein-containing complex binding', 'ephrin receptor binding', 'RNA binding', 'protein-macromolecule adaptor activity', 'SH3 domain binding', 'insulin receptor substrate binding', 'phosphotyrosine residue binding', 'protein kinase binding', 'neurotrophin TRKA receptor binding', 'identical protein binding']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,RPS4X,ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424],"['structural constituent of ribosome', 'rRNA binding', 'protein binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36,IQGAP1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110],"['protein phosphatase binding', 'mitogen-activated protein kinase binding', 'protein serine/threonine kinase activator activity', 'small GTPase binding', 'MAP-kinase scaffold activity', 'calmodulin binding', 'calcium ion binding', 'S100 protein binding', 'GTPase inhibitor activity', 'protein domain specific binding', 'phosphatidylinositol-3,4,5-trisphosphate binding', 'cadherin binding', 'GTPase activator activity', 'actin filament binding']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,RBFOX1,RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222],"['protein C-terminus binding', 'mRNA binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,CYLD,CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584],"['thiol-dependent ubiquitin-specific protease activity', 'cysteine-type peptidase activity', 'Lys48-specific deubiquitinase activity', 'proline-rich region binding', 'Lys63-specific deubiquitinase activity', 'protein kinase binding', 'zinc ion binding']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,TUBA1A,tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766],"['structural constituent of cytoskeleton', 'GTPase activity', 'protein domain specific binding', 'GTP binding', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,CTNNB1,catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514],"['protein phosphatase binding', 'estrogen receptor binding', 'disordered domain specific binding', 'transcription coactivator activity', 'RNA polymerase II transcription factor binding', 'RNA polymerase II activating transcription factor binding', 'alpha-catenin binding', 'I-SMAD binding', 'ion channel binding', 'cadherin binding', 'protein C-terminus binding', 'protein kinase binding', 'repressing transcription factor binding', 'beta-catenin binding', 'chromatin binding']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]","['DNA-binding transcription activator activity, RNA polymerase II-specific', 'protein-containing complex binding', 'ubiquitin protein ligase binding', 'RNA polymerase II activating transcription factor binding', 'RNA binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'HMG box domain binding', 'GTPase activator activity', 'cAMP response element binding', 'chromatin binding', 'R-SMAD binding', 'identical protein binding']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
44,ATP2B1,ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814],"['PDZ domain binding', 'calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration', 'calmodulin binding', 'ATP binding', 'ATPase activity', 'metal ion binding']",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3
45,EPB41,erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377],"['structural constituent of cytoskeleton', '1-phosphatidylinositol binding', 'protein N-terminus binding', 'calmodulin binding', 'actin binding', 'spectrin binding', 'protein C-terminus binding', 'phosphoprotein binding']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46,CHD4,chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919],"['histone deacetylase binding', 'DNA helicase activity', 'ATP binding', 'nucleosomal DNA binding', 'RNA polymerase II repressing transcription factor binding', 'zinc ion binding']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
47,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]","['manganese ion binding', 'proline-rich region binding', 'magnesium ion binding', 'ATP binding', 'bubble DNA binding', 'nicotinate-nucleotide adenylyltransferase activity', 'SH3 domain binding', 'protein C-terminus binding', 'non-membrane spanning protein tyrosine kinase activity', 'syntaxin binding', 'four-way junction DNA binding', 'transcription coactivator activity', 'actin monomer binding', 'neuropilin binding', 'sequence-specific double-stranded DNA binding', 'actin filament binding', 'ephrin receptor binding', 'SH2 domain binding', 'protein kinase C binding', 'phosphotyrosine residue binding', 'mitogen-activated protein kinase binding']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838],"['ubiquitin protein ligase binding', 'microtubule binding', 'phosphatidylethanolamine binding']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,CDK2,cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771],"['cyclin-dependent protein serine/threonine kinase activity', 'cyclin binding', 'magnesium ion binding', 'protein domain specific binding', 'ATP binding', 'histone kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,TUBA1B,tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809],"['structural constituent of cytoskeleton', 'ubiquitin protein ligase binding', 'GTPase activity', 'GTP binding', 'double-stranded RNA binding']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
54,MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],"['microfilament motor activity', 'protein-membrane adaptor activity', 'calmodulin binding', 'RNA binding', 'ADP binding', 'protein domain specific binding', 'ATP binding', 'cadherin binding', 'actin filament binding', 'actin-dependent ATPase activity', 'protein homodimerization activity', 'integrin binding']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
55,NXF1,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071],"['protein binding', 'mRNA binding']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
56,FLNA,filamin A [Source:HGNC Symbol;Acc:HGNC:3754],"['small GTPase binding', 'Fc-gamma receptor I complex binding', 'RNA binding', 'kinase binding', 'potassium channel regulator activity', 'ion channel binding', 'SMAD binding', 'transcription factor binding', 'cadherin binding', 'actin filament binding', 'mu-type opioid receptor binding', 'protein homodimerization activity']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
62,ERBB4,erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432],"['epidermal growth factor receptor binding', 'transmembrane receptor protein tyrosine kinase activity', 'ATP binding', 'transcription regulatory region sequence-specific DNA binding', 'protein homodimerization activity']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],"['scaffold protein binding', 'kinase binding', 'ATP-dependent microtubule motor activity, plus-end-directed', 'ATP binding', 'kinesin binding', 'microtubule binding']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]","['ubiquitin protein ligase activity', 'protein binding']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
67,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163],"['structural constituent of postsynapse', 'calcium ion binding', 'vinculin binding', 'integrin binding', 'ion channel binding', 'actin filament binding', 'double-stranded RNA binding', 'protein homodimerization activity', 'nuclear receptor coactivator activity']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
70,CASK,calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497],"['protein threonine kinase activity', 'guanylate kinase activity', 'calmodulin binding', 'neurexin family protein binding', 'ATP binding', 'protein serine kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,DLG2,discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901],"['guanylate kinase activity', 'structural constituent of postsynaptic density', 'kinase binding']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
72,MAPK1,mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871],"['MAP kinase activity', 'ATP binding', 'transcription factor binding', 'phosphotyrosine residue binding', 'double-stranded DNA binding', 'mitogen-activated protein kinase kinase kinase binding', 'RNA polymerase II CTD heptapeptide repeat kinase activity', 'MAP kinase kinase activity', 'phosphatase binding', 'identical protein binding']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,PTPN4,protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656],"['cytoskeletal protein binding', 'non-membrane spanning protein tyrosine phosphatase activity']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75,U2AF2,U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156],"['enzyme binding', 'C2H2 zinc finger domain binding', 'poly-pyrimidine tract binding', ""pre-mRNA 3'-splice site binding""]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,TUBB,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778],"['protein-containing complex binding', 'structural constituent of cytoskeleton', 'ubiquitin protein ligase binding', 'GTPase activity', 'MHC class I protein binding', 'protein domain specific binding', 'GTPase activating protein binding', 'GTP binding']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
78,CTNNA2,catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510],"['actin filament binding', 'structural constituent of cytoskeleton', 'cadherin binding', 'identical protein binding']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,VCAM1,vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663],"['primary amine oxidase activity', 'integrin binding']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
80,RPS6,ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429],"['protein kinase binding', 'structural constituent of ribosome', 'RNA binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
81,EEF2,eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214],"['GTPase activity', 'translation elongation factor activity', 'actin filament binding', 'ribosome binding', 'GTP binding', 'cadherin binding', 'protein kinase binding', '5S rRNA binding', 'p53 binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
82,MAPK9,mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886],"['ATP binding', 'protein serine/threonine/tyrosine kinase activity', 'transcription factor binding', 'JUN kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144],"['ligase activity', 'ubiquitin ligase-substrate adaptor activity', 'ubiquitin ligase activator activity', 'protein dimerization activity', 'ubiquitin protein ligase activity', 'protein phosphorylated amino acid binding', 'beta-catenin binding']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
89,DDX3X,DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745],"['CTPase activity', 'DNA helicase activity', 'gamma-tubulin binding', 'protein serine/threonine kinase activator activity', 'GTPase activity', 'eukaryotic initiation factor 4E binding', 'RNA stem-loop binding', 'DNA binding', 'ATP binding', 'transcription factor binding', 'cadherin binding', 'poly(A) binding', 'RNA helicase activity', 'RNA strand annealing activity', 'ribosomal small subunit binding', ""mRNA 5'-UTR binding""]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
90,ANLN,anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082],"['cadherin binding', 'small GTPase binding', 'actin binding']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
93,CDC37,"cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]","['protein kinase regulator activity', 'scaffold protein binding', 'unfolded protein binding', 'chaperone binding', 'protein kinase binding', 'Hsp90 protein binding']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,AP2M1,adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564],"['lipid binding', 'ion channel binding', 'clathrin adaptor activity', 'signal sequence binding', 'low-density lipoprotein particle receptor binding']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
96,AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391],"['protein phosphatase 2A binding', 'protein threonine kinase activity', '14-3-3 protein binding', 'calmodulin binding', 'phosphatidylinositol-3,4-bisphosphate binding', 'GTPase activating protein binding', 'ATP binding', 'phosphatidylinositol-3,4,5-trisphosphate binding', 'protein kinase C binding', 'protein serine/threonine/tyrosine kinase activity', 'nitric-oxide synthase regulator activity', 'protein homodimerization activity', 'protein serine kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,MOV10,Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200],"['ATP binding', ""5'-3' RNA helicase activity"", 'RNA binding', 'protein binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
102,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971],"['phosphatidylinositol binding', '1-phosphatidylinositol-4-phosphate 3-kinase activity', 'ATP binding', '1-phosphatidylinositol-3-kinase activity', 'clathrin binding', 'phosphatidylinositol-4,5-bisphosphate 3-kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,ARHGEF7,Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607],"['protein kinase binding', 'guanyl-nucleotide exchange factor activity']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
106,SRPK2,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306],"['protein threonine kinase activity', '14-3-3 protein binding', 'MAP kinase activity', 'RNA binding', 'magnesium ion binding', 'ATP binding', 'protein serine kinase activity']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]","['type II activin receptor binding', 'SMAD binding', 'signaling receptor complex adaptor activity', 'phosphatase binding', 'beta-1 adrenergic receptor binding']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
114,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799],"['phosphatase activity', 'potassium ion binding', 'sodium ion binding', 'ADP binding', 'protein domain specific binding', 'ATP binding', 'phosphatidylinositol 3-kinase binding', 'steroid hormone binding', 'protein heterodimerization activity', 'chaperone binding', 'protein kinase binding', 'ankyrin binding', 'sodium:potassium-exchanging ATPase activity']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
117,TRIO,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303],"['guanyl-nucleotide exchange factor activity', 'protein binding', 'protein threonine kinase activity', 'ATP binding', 'protein serine kinase activity']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
118,TUBB2A,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412],"['GTPase activity', 'structural constituent of cytoskeleton', 'GTP binding', 'protein binding']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
119,UBA1,ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469],"['ATP binding', 'protein binding', 'RNA binding', 'ubiquitin activating enzyme activity']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,MAPK6,mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879],"['ATP binding', 'MAP kinase activity', 'protein binding']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,DNM3,dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125],"['GTPase activity', 'structural constituent of postsynapse', 'type 5 metabotropic glutamate receptor binding', 'type 1 metabotropic glutamate receptor binding', 'GTP binding', 'microtubule binding', 'nitric-oxide synthase binding']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
124,ATP6V1A,ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851],"['ATP binding', 'proton-transporting ATPase activity, rotational mechanism', 'proton-transporting ATP synthase activity, rotational mechanism']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
125,DCTN1,dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711],"['protein kinase binding', 'motor activity', 'microtubule plus-end binding', 'tau protein binding']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
126,RPS8,ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441],"['structural constituent of ribosome', 'RNA binding', 'protein binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,DNM1,dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972],"['protein-containing complex binding', 'D2 dopamine receptor binding', 'GTPase activity', 'RNA binding', 'SH3 domain binding', 'GTP binding', 'microtubule binding', 'protein C-terminus binding', 'nitric-oxide synthase binding', 'protein kinase binding', 'identical protein binding']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
129,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:HGNC:23077]","['thiol-dependent ubiquitin-specific protease activity', 'NEDD8-specific protease activity', 'ubiquitin protein ligase binding', 'ubiquitin binding']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
132,ERBB2,erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430],"['protein phosphatase binding', 'growth factor binding', 'transmembrane receptor protein tyrosine kinase activity', 'ATP binding', 'protein heterodimerization activity', 'protein C-terminus binding', 'ErbB-3 class receptor binding', 'RNA polymerase I core binding', 'identical protein binding']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
