,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],['extracellular matrix constituent conferring elasticity'],1,0,0,0,0,0,1,1,1,2
15,CHRM3,cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952],"['G protein-coupled acetylcholine receptor activity', 'protein binding', 'acetylcholine binding', 'phosphatidylinositol phospholipase C activity', 'G protein-coupled serotonin receptor activity']",1,0,0,0,0,0,0,1,0,1
16,GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6 [Source:HGNC Symbol;Acc:HGNC:4080],"['GABA-gated chloride ion channel activity', 'inhibitory extracellular ligand-gated ion channel activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-A receptor activity', 'benzodiazepine receptor activity']",1,0,1,0,0,0,0,2,0,2
17,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957],"['protein binding', 'acetylcholine binding', 'acetylcholine-gated cation-selective channel activity', 'acetylcholine receptor activity']",1,0,0,0,0,0,0,1,0,1
18,TIAM1,TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805],"['guanyl-nucleotide exchange factor activity', 'microtubule binding', 'receptor tyrosine kinase binding', 'lipid binding']",1,0,0,1,1,0,0,1,2,3
19,CACNA1A,calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388],"['amyloid-beta binding', 'metal ion binding', 'syntaxin binding', 'high voltage-gated calcium channel activity']",1,0,1,1,1,0,0,2,2,4
20,RPL7,ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363],"['DNA binding', 'identical protein binding', 'structural constituent of ribosome', 'mRNA binding']",1,1,0,1,1,1,1,2,4,6
21,EPS8,epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420],"['guanyl-nucleotide exchange factor activity', 'small GTPase binding', 'signaling adaptor activity', 'actin binding']",1,0,0,1,0,0,0,1,1,2
22,PTPRT,protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682],"['cadherin binding', 'delta-catenin binding', 'alpha-catenin binding', 'protein homodimerization activity', 'gamma-catenin binding', 'transmembrane receptor protein tyrosine phosphatase activity', 'STAT family protein binding', 'beta-catenin binding', 'protein phosphatase binding']",1,0,0,1,0,0,0,1,1,2
23,SNCA,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138],"['zinc ion binding', 'protein kinase inhibitor activity', 'microtubule binding', 'SNARE binding', 'kinesin binding', 'phospholipid binding', 'beta-tubulin binding', 'histone binding', 'cysteine-type endopeptidase inhibitor activity involved in apoptotic process', 'protein domain specific binding', 'Hsp70 protein binding', 'magnesium ion binding', 'cuprous ion binding', 'phosphoprotein binding', 'ferrous iron binding', 'alpha-tubulin binding', 'calcium ion binding', 'oxidoreductase activity', 'actin binding', 'identical protein binding', 'protein N-terminus binding', 'dynein complex binding', 'phospholipase binding', 'transcription regulatory region sequence-specific DNA binding', 'tau protein binding']",1,1,1,1,0,0,0,3,1,4
24,RPL27A,ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
25,CLSTN3,calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371],"['protein binding', 'calcium ion binding']",1,0,0,1,1,0,1,1,3,4
26,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586],"['zinc ion binding', 'protein binding', 'glutamate-gated calcium ion channel activity', 'glycine binding', 'glutamate binding', 'amyloid-beta binding', 'NMDA glutamate receptor activity']",1,1,1,1,1,1,0,3,3,6
27,CACNA1E,calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392],"['calcium ion binding', 'voltage-gated calcium channel activity']",1,0,1,1,1,1,1,2,4,6
28,SV2C,synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670],"['protein binding', 'transmembrane transporter activity']",1,1,1,0,0,0,0,3,0,3
29,ATP6V0A4,ATPase H+ transporting V0 subunit a4 [Source:HGNC Symbol;Acc:HGNC:866],"['ATPase binding', 'proton-transporting ATPase activity, rotational mechanism']",1,0,0,0,0,0,0,1,0,1
30,SLC2A3,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007],"['protein binding', 'glucose binding', 'glucose transmembrane transporter activity']",1,0,1,0,0,0,1,2,1,3
31,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2 [Source:HGNC Symbol;Acc:HGNC:5042],"['protein binding', 'RNA binding']",1,0,0,1,0,1,1,1,3,4
32,PARN,poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609],"[""mRNA 3'-UTR binding"", 'protein kinase binding', 'telomerase RNA binding', 'metal ion binding', 'poly(A)-specific ribonuclease activity']",1,0,0,0,0,0,0,1,0,1
33,RAB7A,"RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]","['protein binding', 'retromer complex binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,1,1,1,0,1,1,3,3,6
34,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399],"['voltage-gated calcium channel activity involved in bundle of His cell action potential', 'metal ion binding']",1,1,1,1,1,1,1,3,4,7
35,ITPKA,inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178],"['calmodulin binding', 'inositol-1,4,5-trisphosphate 3-kinase activity', 'calmodulin-dependent protein kinase activity', 'ATP binding', 'small GTPase binding', 'inositol hexakisphosphate kinase activity']",1,0,1,1,1,0,0,2,2,4
36,NETO1,neuropilin and tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:13823],['ionotropic glutamate receptor binding'],1,0,0,1,0,0,0,1,1,2
37,GRM3,glutamate metabotropic receptor 3 [Source:HGNC Symbol;Acc:HGNC:4595],"['scaffold protein binding', 'group II metabotropic glutamate receptor activity', 'calcium channel regulator activity']",1,1,1,1,1,1,0,3,3,6
38,RPL35A,ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345],"['protein binding', 'tRNA binding', 'structural constituent of ribosome']",1,0,0,1,0,0,0,1,1,2
39,RPS25,ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,0,1,2,3,5
40,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270],"['protein folding chaperone', 'chaperone binding', 'cadherin binding', 'Hsp70 protein binding', 'unfolded protein binding', 'ATPase activator activity', 'transcription corepressor activity', 'ATPase binding']",1,0,0,1,1,1,1,1,4,5
41,RAB3B,"RAB3B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9778]","['myosin V binding', 'GTP-dependent protein binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,0,1,1,0,0,0,2,1,3
42,WASF2,WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733],"['SH3 domain binding', 'cadherin binding', 'protein kinase A regulatory subunit binding', 'actin binding', 'Arp2/3 complex binding']",1,1,0,0,0,1,0,2,1,3
43,NPY1R,neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956],"['protein binding', 'peptide YY receptor activity', 'pancreatic polypeptide receptor activity']",1,0,0,0,0,0,0,1,0,1
44,PSEN1,presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508],"['growth factor receptor binding', 'cadherin binding', 'aspartic endopeptidase activity, intramembrane cleaving', 'calcium channel activity', 'ATPase binding', 'PDZ domain binding', 'beta-catenin binding']",1,0,1,0,0,0,0,2,0,2
45,FGB,fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662],"['chaperone binding', 'extracellular matrix structural constituent', 'cell adhesion molecule binding', 'signaling receptor binding']",1,1,0,0,0,0,0,2,0,2
46,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9 [Source:HGNC Symbol;Acc:HGNC:14561],"['protein binding', 'guanyl-nucleotide exchange factor activity']",1,0,0,0,0,0,0,1,0,1
47,RAB27B,"RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9767]","['myosin V binding', 'protein domain specific binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,0,1,1,0,0,0,2,1,3
48,ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144],"['ubiquitin protein ligase binding', 'profilin binding', 'identical protein binding', 'ATP binding', 'structural constituent of postsynaptic actin cytoskeleton']",1,1,1,1,1,0,0,3,2,5
49,C1QBP,complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243],"['hyaluronic acid binding', 'mRNA binding', 'transcription factor binding', 'kininogen binding', 'adrenergic receptor binding', 'protein kinase C binding', 'translation activator activity', 'transcription corepressor activity', 'complement component C1q complex binding', 'mitochondrial ribosome binding']",1,1,1,1,0,0,1,3,2,5
50,STX1A,syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433],"['ion channel binding', 'SNARE binding', 'SNAP receptor activity', 'calcium channel inhibitor activity', 'chloride channel inhibitor activity', 'calcium-dependent protein binding', 'protein domain specific binding', 'myosin head/neck binding', 'identical protein binding', 'kinase binding', 'protein N-terminus binding', 'protein-containing complex binding', 'ATP-dependent protein binding']",1,1,1,1,1,0,1,3,3,6
51,LRRC7,leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531],['protein binding'],1,1,1,1,1,1,0,3,3,6
52,SPTAN1,"spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]","['calmodulin binding', 'calcium ion binding', 'cadherin binding', 'actin binding', 'structural constituent of cytoskeleton']",1,1,1,1,1,1,1,3,4,7
53,SH3GL2,"SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]","['identical protein binding', 'protein kinase binding', 'lipid binding', 'protein C-terminus binding']",1,1,1,1,1,1,1,3,4,7
54,RPS11,ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384],"['protein binding', 'rRNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
55,ABHD17A,"abhydrolase domain containing 17A, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:28756]","['protein binding', 'palmitoyl-(protein) hydrolase activity']",1,0,0,0,0,0,0,1,0,1
56,RPL36,ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631],"['RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
57,PPFIA3,PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247],['protein binding'],1,1,1,1,1,1,1,3,4,7
58,HOMER2,homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513],"['G protein-coupled glutamate receptor binding', 'protein domain specific binding', 'actin binding', 'identical protein binding', 'synaptic receptor adaptor activity', 'protein-containing complex binding']",1,1,0,1,1,0,0,2,2,4
59,EPHA3,EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387],"['protein binding', 'GPI-linked ephrin receptor activity', 'transmembrane-ephrin receptor activity', 'ATP binding']",1,0,0,0,0,0,1,1,1,2
60,USP8,ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631],"['thiol-dependent ubiquitin-specific protease activity', 'SH3 domain binding', 'cadherin binding', 'cysteine-type endopeptidase activity']",1,0,0,0,0,0,1,1,1,2
61,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033],"[""mRNA 3'-UTR binding"", 'miRNA binding', 'pre-mRNA intronic binding', 'protein binding', 'N6-methyladenosine-containing RNA binding', 'G-rich strand telomeric DNA binding']",1,0,0,1,1,1,1,1,4,5
62,SNAP91,synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986],"['clathrin heavy chain binding', 'SNARE binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'protein kinase binding', '1-phosphatidylinositol binding']",1,1,1,1,1,1,1,3,4,7
63,ARPC2,actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705],"['actin filament binding', 'structural constituent of cytoskeleton']",1,1,0,1,1,1,1,2,4,6
64,DGKI,diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855],"['GTPase inhibitor activity', 'NAD+ kinase activity', 'diacylglycerol kinase activity', 'ATP binding', 'metal ion binding', 'small GTPase binding']",1,0,0,0,0,0,1,1,1,2
65,RELA,"RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]","['chromatin DNA binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'protein homodimerization activity', 'phosphate ion binding', 'NF-kappaB binding', 'RNA polymerase II core promoter sequence-specific DNA binding', 'histone deacetylase binding', 'actinin binding', 'RNA polymerase II transcription coactivator binding', 'protein kinase binding', 'protein-containing complex binding', 'repressing transcription factor binding', 'protein N-terminus binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'ubiquitin protein ligase binding', 'activating transcription factor binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'ankyrin repeat binding', 'peptide binding']",1,0,0,0,0,1,1,1,2,3
66,DYNLL2,dynein light chain LC8-type 2 [Source:HGNC Symbol;Acc:HGNC:24596],"['dynein light intermediate chain binding', 'dynein intermediate chain binding', 'scaffold protein binding', 'identical protein binding', 'motor activity', 'protein-containing complex binding']",1,1,1,1,1,0,0,3,2,5
67,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296],"['mRNA binding', 'molecular adaptor activity', 'eukaryotic initiation factor 4E binding', 'translation initiation factor activity', 'identical protein binding', 'ATP binding']",1,1,0,1,1,1,1,2,4,6
68,CHRNA9,cholinergic receptor nicotinic alpha 9 subunit [Source:HGNC Symbol;Acc:HGNC:14079],"['protein binding', 'calcium channel activity', 'acetylcholine-gated cation-selective channel activity', 'transmembrane signaling receptor activity']",1,0,0,0,0,0,0,1,0,1
69,RAB18,"RAB18, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14244]","['protein binding', 'GDP binding', 'GTP binding', 'GTPase activity']",1,1,1,1,1,0,1,3,3,6
70,NRGN,neurogranin [Source:HGNC Symbol;Acc:HGNC:8000],"['calmodulin binding', 'phosphatidic acid binding', 'phosphatidylinositol-3,4,5-trisphosphate binding']",1,1,1,1,1,0,0,3,2,5
71,BIN1,bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052],"['phospholipid binding', 'chaperone binding', 'clathrin binding', 'aspartic-type endopeptidase inhibitor activity', 'RNA polymerase binding', 'identical protein binding', 'tau protein binding', 'actin filament binding', 'protease binding']",1,1,0,1,1,1,1,2,4,6
72,ATP6V1F,ATPase H+ transporting V1 subunit F [Source:HGNC Symbol;Acc:HGNC:16832],"['protein binding', 'proton-transporting ATPase activity, rotational mechanism', 'ATPase activity']",1,1,1,1,1,0,0,3,2,5
73,GSG1L,GSG1 like [Source:HGNC Symbol;Acc:HGNC:28283],['protein binding'],1,0,0,0,0,0,0,1,0,1
74,PRKACA,protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380],"['AMP-activated protein kinase activity', 'cAMP-dependent protein kinase activity', 'protein domain specific binding', 'ubiquitin protein ligase binding', 'protein kinase binding', 'manganese ion binding', 'protein kinase A regulatory subunit binding', 'magnesium ion binding', 'protein serine/threonine/tyrosine kinase activity', 'ATP binding']",1,1,1,1,1,1,1,3,4,7
75,PLD1,phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067],"['protein binding', 'phosphatidylinositol binding', 'phospholipase D activity', 'N-acylphosphatidylethanolamine-specific phospholipase D activity']",1,0,1,0,0,0,0,2,0,2
76,CADM3,cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601],['protein homodimerization activity'],1,0,0,1,1,1,1,1,4,5
77,GRIA2,glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572],"['amyloid-beta binding', 'AMPA glutamate receptor activity', 'protein binding']",1,1,1,1,1,1,1,3,4,7
78,RAB3A,"RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]","['myosin V binding', 'GTP-dependent protein binding', 'GDP-dissociation inhibitor binding', 'ATPase activator activity', 'GTPase activity', 'ATPase binding', 'GTP binding', 'protein C-terminus binding']",1,1,1,1,1,0,1,3,3,6
79,GIPC1,GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226],"['cadherin binding', 'actin binding', 'myosin binding', 'identical protein binding', 'signaling receptor binding']",1,0,0,1,1,0,1,1,3,4
80,SNCB,synuclein beta [Source:HGNC Symbol;Acc:HGNC:11140],"['protein binding', 'phospholipase inhibitor activity', 'calcium ion binding', 'cuprous ion binding']",1,0,1,0,0,0,0,2,0,2
81,CDH1,cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748],"['calcium ion binding', 'ankyrin binding', 'cadherin binding', 'identical protein binding', 'GTPase activating protein binding', 'gamma-catenin binding', 'beta-catenin binding']",1,0,1,0,0,0,0,2,0,2
82,RAB26,"RAB26, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14259]","['protein binding', 'GTP binding', 'GMP binding', 'GTPase activity']",1,0,1,0,0,0,0,2,0,2
83,HNRNPM,heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046],"['mRNA binding', 'protein domain specific binding']",1,0,0,1,1,1,1,1,4,5
84,RAB11B,"RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]","['myosin V binding', 'cadherin binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,0,1,0,0,0,0,2,0,2
85,DMXL2,Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938],['small GTPase binding'],1,1,1,1,1,1,1,3,4,7
86,RPL28,ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,0,1,1,3,4
87,STX12,syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430],"['SNARE binding', 'SNAP receptor activity']",1,1,1,1,1,0,1,3,3,6
88,RPL13,ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,1,1,1,1,1,1,3,4,7
89,GAD1,glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092],"['glutamate decarboxylase activity', 'glutamate binding', 'protein N-terminus binding', 'pyridoxal phosphate binding', 'protein-containing complex binding']",1,1,0,1,1,0,0,2,2,4
90,NR3C2,nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979],"['zinc ion binding', 'steroid binding', 'protein binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'nuclear receptor activity', 'steroid hormone receptor activity']",1,0,0,0,0,0,0,1,0,1
91,SV2A,synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566],"['transmembrane transporter activity', 'protein kinase binding']",1,1,1,1,1,0,1,3,3,6
92,RPL22,ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315],"['RNA binding', 'identical protein binding', 'heparin binding', 'structural constituent of ribosome']",1,1,0,1,1,1,1,2,4,6
93,ZDHHC5,zinc finger DHHC-type palmitoyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:18472],"['protein binding', 'protein-cysteine S-palmitoyltransferase activity']",1,0,0,1,0,0,1,1,2,3
94,GRM4,glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596],['group III metabotropic glutamate receptor activity'],1,0,1,1,0,0,0,2,1,3
95,RIMS1,regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282],"['ion channel binding', 'GTPase regulator activity', 'small GTPase binding', 'metal ion binding', 'RNA binding']",1,1,1,1,1,1,1,3,4,7
96,ELAVL1,ELAV like RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3312],"['miRNA binding', ""mRNA 3'-UTR AU-rich region binding"", 'protein kinase binding', 'double-stranded RNA binding', 'protein homodimerization activity']",1,0,0,1,0,1,1,1,3,4
97,GDI2,GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227],"['GTPase activator activity', 'RNA binding', 'Rab GDP-dissociation inhibitor activity', 'small GTPase binding']",1,1,1,1,0,1,1,3,3,6
98,DAGLA,diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165],"['protein binding', 'hydrolase activity', 'metal ion binding']",1,0,0,1,0,0,0,1,1,2
99,DGCR8,DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847],"['primary miRNA binding', 'ribonuclease III activity', 'double-stranded RNA binding', 'heme binding', 'protein homodimerization activity', 'metal ion binding']",1,0,0,0,0,0,0,1,0,1
100,DBNL,drebrin like [Source:HGNC Symbol;Acc:HGNC:2696],"['cadherin binding', 'protein domain specific binding', 'actin filament binding', 'enzyme activator activity', 'protein C-terminus binding']",1,1,1,1,1,0,1,3,3,6
101,AKAP1,A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367],"['RNA binding', 'protein kinase A regulatory subunit binding']",1,0,0,0,1,0,1,1,2,3
102,RPL36A,ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,1,0,0,1,2,3
103,RTN4,reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085],"['ubiquitin protein ligase binding', 'RNA binding', 'cadherin binding']",1,1,1,1,1,1,1,3,4,7
104,TAOK2,TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835],"['protein serine kinase activity', 'mitogen-activated protein kinase kinase binding', 'neuropilin binding', 'ATP binding', 'tau-protein kinase activity', 'protein threonine kinase activity', 'tau protein binding', 'MAP kinase kinase kinase activity']",1,1,0,1,0,0,1,2,2,4
105,PCDH8,protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660],['calcium ion binding'],1,0,0,0,0,0,0,1,0,1
106,ATP2B2,ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815],"['calmodulin binding', 'PDZ domain binding', 'calcium-transporting ATPase activity involved in regulation of postsynaptic cytosolic calcium ion concentration', 'ATP binding', 'metal ion binding', 'calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration']",1,1,1,1,1,0,1,3,3,6
107,BCL11A,BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221],"['RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'protein kinase binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'metal ion binding']",1,0,0,0,0,0,0,1,0,1
108,SLC18A1,solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934],"['serotonin:sodium symporter activity', 'xenobiotic transmembrane transporter activity']",1,0,1,0,0,0,0,2,0,2
109,CDH6,cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765],"['cadherin binding', 'calcium ion binding']",1,0,1,1,0,0,1,2,2,4
