,genes,description,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile
7895,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 [Source:HGNC Symbol;Acc:HGNC:11100]",5.2752897121889815,0,0,0,0,0,0,1,0,1,1,yes,new,99.84170953700041
4531,LRRK2,leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618],5.238314112714275,1,0,0,0,0,0,0,1,0,1,yes,old,99.83181638306291
3501,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868],5.232295958736231,0,0,0,0,0,0,1,0,1,1,yes,new,99.82192322912545
9144,UBC,ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468],5.2064388237295685,0,1,0,0,0,1,1,1,2,3,yes,old,99.81203007518799
3215,GNAS,GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392],5.204955560382751,0,1,1,1,1,1,1,2,4,6,yes,old,99.8021369212505
9555,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855],5.1959446006036965,1,1,1,1,1,1,1,3,4,7,yes,old,99.79224376731302
5112,MYC,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]",5.195577259940623,0,0,0,0,0,0,0,0,0,0,yes,new,99.78235061337556
3023,GABARAPL2,GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291],5.191573334208008,0,1,1,1,1,1,0,2,3,5,yes,old,99.77245745943807
1863,CUL3,cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553],5.176184975874559,0,0,0,1,1,0,1,0,3,3,yes,new,99.7625643055006
3981,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]",5.16878063005486,1,0,0,1,1,0,0,1,2,3,yes,old,99.75267115156313
3690,HSPA5,heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238],5.154490525103953,0,1,1,0,0,1,1,2,2,4,yes,old,99.74277799762564
5376,NFKB1,nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794],5.1506419135096975,0,0,0,0,0,0,0,0,0,0,yes,new,99.73288484368817
2898,FN1,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778],5.1463470239235924,0,0,0,0,0,1,1,0,2,2,yes,new,99.72299168975071
1020,CALM3,calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449],5.139163085487945,0,0,1,0,0,0,0,1,0,1,yes,old,99.71309853581322
3603,HNRNPU,heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048],5.1384563165095525,0,0,0,1,0,1,1,0,3,3,yes,new,99.70320538187576
2309,DYNC1H1,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],5.135711830445792,0,1,1,1,1,1,1,2,4,6,yes,old,99.69331222793826
4747,MDM2,MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973],5.1340487625962625,0,0,0,0,0,0,0,0,0,0,yes,new,99.6834190740008
1804,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],5.1231737973980565,0,1,1,1,1,1,1,2,4,6,yes,old,99.6735259200633
3333,GRB2,growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566],5.11072257813418,0,1,1,1,0,0,1,2,2,4,yes,old,99.66363276612586
7233,RPS4X,ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424],5.106817187882873,1,0,0,1,1,1,1,1,4,5,yes,old,99.65373961218836
3905,IQGAP1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110],5.098572056936312,0,1,0,0,0,0,1,1,1,2,yes,old,99.64384645825086
6899,RBFOX1,RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222],5.096163945570535,0,0,0,0,0,0,1,0,1,1,yes,new,99.63395330431341
2784,FBXW11,F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607],5.095974636918738,0,0,0,0,0,0,1,0,1,1,yes,new,99.62406015037594
1891,CYLD,CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584],5.094272125098803,0,1,0,0,1,0,0,1,1,2,yes,old,99.61416699643848
9067,TUBA1A,tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766],5.0885566419602215,0,1,1,1,1,1,1,2,4,6,yes,old,99.60427384250099
9324,UTRN,utrophin [Source:HGNC Symbol;Acc:HGNC:12635],5.086628459224729,0,0,0,0,0,0,0,0,0,0,yes,new,99.59438068856352
1838,CTNNB1,catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514],5.082820474258418,1,1,1,1,1,1,1,3,4,7,yes,old,99.58448753462605
4014,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]",5.0821096139517925,0,0,0,0,0,0,0,0,0,0,yes,new,99.57459438068857
698,ATP2B1,ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814],5.081296572319791,1,1,1,0,0,1,1,3,2,5,yes,old,99.56470122675108
2523,EPB41,erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377],5.075050549655146,0,1,0,1,0,1,1,1,3,4,yes,old,99.55480807281359
1440,CHD4,chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919],5.067796621565091,0,0,0,0,0,0,1,0,1,1,yes,new,99.54491491887613
59,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",5.0629513235922206,1,0,0,0,0,0,1,1,1,2,yes,old,99.53502176493866
4630,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838],5.062512729019491,1,0,0,1,0,1,1,1,3,4,yes,old,99.52512861100121
1321,CDK2,cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771],5.0620695349381055,0,0,0,0,0,0,1,0,1,1,yes,new,99.51523545706371
8008,SORBS2,sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098],5.058202662021633,0,1,0,1,1,1,1,1,4,5,yes,old,99.50534230312624
9068,TUBA1B,tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809],5.052291430691911,0,1,0,0,0,0,0,1,0,1,yes,old,99.49544914918877
9553,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853],5.043014156066255,1,1,1,1,1,1,1,3,4,7,yes,old,99.48555599525127
5511,NPM1,nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910],5.040674537432339,0,1,0,1,0,1,1,1,3,4,yes,old,99.4756628413138
5132,MYH9,myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579],5.039448537003373,0,0,1,1,1,1,1,1,4,5,yes,old,99.46576968737635
5637,NXF1,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071],5.037620386405601,0,0,0,0,0,0,0,0,0,0,yes,new,99.45587653343884
2874,FLNA,filamin A [Source:HGNC Symbol;Acc:HGNC:3754],5.036940199650838,1,0,0,1,0,1,1,1,3,4,yes,old,99.4459833795014
9554,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854],5.036323794995094,1,1,1,1,1,1,1,3,4,7,yes,old,99.43609022556393
3589,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031],5.033932801497701,0,1,0,1,1,1,1,1,4,5,yes,old,99.42619707162643
3551,HLA-B,"major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]",5.033572764476104,0,0,0,0,0,0,0,0,0,0,yes,new,99.41630391768896
8268,STXBP1,syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444],5.028600058874732,0,1,1,1,1,1,1,2,4,6,yes,old,99.40641076375148
1096,CBL,Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541],5.022649169340808,0,0,0,1,0,0,1,0,2,2,yes,new,99.396517609814
2557,ERBB4,erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432],5.022565946060623,1,0,0,0,0,0,0,1,0,1,yes,old,99.38662445587653
4698,MATR3,matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912],5.022559022796305,0,0,0,1,1,1,1,0,4,4,yes,new,99.37673130193907
4463,LNX1,ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657],5.019563339703043,0,0,0,0,0,0,0,0,0,0,yes,new,99.36683814800158
4139,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],5.018416097645586,0,0,1,1,1,0,1,1,3,4,yes,old,99.35694499406412
3493,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]",5.017315050315429,0,1,0,0,1,0,1,1,2,3,yes,old,99.34705184012665
131,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163],5.016513634939371,0,1,1,1,1,1,1,2,4,6,yes,old,99.33715868618916
3220,GNB1,G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396],5.015475144904528,0,1,1,1,1,1,1,2,4,6,yes,old,99.32726553225169
5597,NUDCD3,NudC domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22208],5.0130079578332625,0,0,0,0,0,0,0,0,0,0,yes,new,99.3173723783142
1072,CASK,calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497],5.011378433616119,1,1,1,1,1,1,1,3,4,7,yes,old,99.30747922437672
2122,DLG2,discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901],5.010645424166325,1,1,1,1,1,1,0,3,3,6,yes,old,99.29758607043924
4660,MAPK1,mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871],5.009420444623582,1,1,1,1,1,1,1,3,4,7,yes,old,99.28769291650178
2306,DVL2,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086],5.008350098863171,0,0,0,0,0,0,0,0,0,0,yes,new,99.2777997625643
6675,PTPN4,protein tyrosine phosphatase non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656],5.006461039380675,0,0,0,0,0,0,0,0,0,0,yes,new,99.26790660862684
9127,U2AF2,U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156],5.00126825380264,0,0,0,1,0,0,1,0,2,2,yes,new,99.25801345468935
9073,TUBB,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778],4.998506624934532,0,0,1,0,0,1,1,1,2,3,yes,old,99.24812030075188
9552,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849],4.994763764807793,0,1,1,1,1,1,1,2,4,6,yes,old,99.23822714681441
1835,CTNNA2,catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510],4.994537775000512,1,1,1,1,1,1,1,3,4,7,yes,old,99.22833399287693
9349,VCAM1,vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663],4.988257074340357,0,0,0,0,0,0,0,0,0,0,yes,new,99.21844083893946
7235,RPS6,ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429],4.981525622875815,1,1,0,1,1,1,1,2,4,6,yes,old,99.20854768500195
2375,EEF2,eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214],4.977921030063987,1,1,1,1,1,1,1,3,4,7,yes,old,99.19865453106449
4675,MAPK9,mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886],4.972620803031097,0,0,0,0,0,0,0,0,0,0,yes,new,99.18876137712702
3004,FXR2,FMR1 autosomal homolog 2 [Source:HGNC Symbol;Acc:HGNC:4024],4.971877454639132,1,1,0,1,1,1,1,2,4,6,yes,old,99.17886822318957
9493,WWOX,WW domain containing oxidoreductase [Source:HGNC Symbol;Acc:HGNC:12799],4.962559292545125,0,0,0,0,0,0,0,0,0,0,yes,new,99.16897506925207
1011,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]",4.961803507761132,0,1,0,0,0,1,1,1,2,3,yes,old,99.1590819153146
1283,CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743],4.9565564598705025,0,0,0,0,0,1,1,0,2,2,yes,new,99.14918876137712
2648,EZR,ezrin [Source:HGNC Symbol;Acc:HGNC:12691],4.955876676305163,0,1,1,1,0,1,1,2,3,5,yes,old,99.13929560743964
948,BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144],4.954006769867289,0,0,0,0,0,0,0,0,0,0,yes,new,99.12940245350218
2022,DDX3X,DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745],4.953633770776774,0,0,0,1,1,1,1,0,4,4,yes,new,99.11950929956471
396,ANLN,anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082],4.950850995968708,0,0,0,1,1,0,0,0,2,2,yes,new,99.10961614562723
9519,XRCC5,X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833],4.949800582444514,0,0,0,0,0,1,1,0,2,2,yes,new,99.09972299168976
5814,PARP1,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270],4.949571758967745,0,1,0,1,0,1,1,1,3,4,yes,old,99.08982983775229
1269,CDC37,"cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]",4.946977158484271,0,0,0,1,0,1,1,0,3,3,yes,new,99.0799366838148
432,AP2M1,adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564],4.946642609210034,0,1,1,1,1,1,1,2,4,6,yes,old,99.07004352987732
7175,RPA1,replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289],4.946221427621137,0,0,0,0,0,0,1,0,1,1,yes,new,99.06015037593987
282,AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391],4.944158146877012,0,1,0,0,0,0,1,1,1,2,yes,old,99.05025722200236
8351,SYT1,synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509],4.941558418389585,1,1,1,1,1,0,1,3,3,6,yes,old,99.0403640680649
6737,RAB11A,"RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]",4.941285802223804,1,1,0,0,0,0,1,2,1,3,yes,old,99.03047091412742
1272,CDC42,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736],4.939290844856265,0,1,1,1,1,1,1,2,4,6,yes,old,99.02057776018995
1861,CUL1,cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551],4.939107528753233,0,0,0,0,0,0,1,0,1,1,yes,new,99.01068460625248
4935,MOV10,Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200],4.9390609957239615,0,0,0,0,0,0,1,0,1,1,yes,new,99.000791452315
6125,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971],4.938157998722467,0,0,0,0,0,0,1,0,1,1,yes,new,98.99089829837752
558,ARHGEF7,Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607],4.936055228608408,0,1,0,1,0,1,1,1,3,4,yes,old,98.98100514444005
3847,ILF3,interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038],4.934385079714788,0,0,0,0,0,1,1,0,2,2,yes,new,98.97111199050259
8259,STUB1,STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427],4.931725546077373,0,1,0,1,1,1,1,1,4,5,yes,old,98.9612188365651
8130,SRPK2,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306],4.930178436178994,0,1,0,1,1,1,1,1,4,5,yes,old,98.95132568262764
6219,PLEKHA7,pleckstrin homology domain containing A7 [Source:HGNC Symbol;Acc:HGNC:27049],4.928191359508492,0,0,0,1,1,0,0,0,2,2,yes,new,98.94143252869014
4603,MAGI2,"membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]",4.928163025081451,1,1,0,1,1,1,0,2,3,5,yes,old,98.93153937475269
5555,NRXN3,neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010],4.927500131693837,0,1,1,1,1,0,1,2,3,5,yes,old,98.9216462208152
4457,LMO7,LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646],4.9259314987359035,0,1,0,0,0,0,0,1,0,1,yes,old,98.91175306687772
3984,ITSN2,intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184],4.923948402347383,0,1,0,1,0,0,0,1,1,2,yes,old,98.90185991294024
3592,HNRNPC,heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035],4.9237100033733405,0,0,0,0,1,1,1,0,3,3,yes,new,98.89196675900276
7934,SNAP25,synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132],4.923195892548189,1,1,1,1,1,1,1,3,4,7,yes,old,98.88207360506529
689,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799],4.922749920074093,0,1,1,1,1,1,1,2,4,6,yes,old,98.87218045112782
8219,STIP1,stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387],4.92102372177508,0,1,1,1,1,1,1,2,4,6,yes,old,98.86228729719036
7136,RNF2,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061],4.919998933932027,0,0,0,0,0,0,0,0,0,0,yes,new,98.85239414325287
8950,TRIO,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303],4.9142777760737175,1,1,0,1,1,1,1,2,4,6,yes,old,98.84250098931541
9075,TUBB2A,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412],4.912494451004597,0,1,1,1,1,1,1,2,4,6,yes,old,98.83260783537793
9131,UBA1,ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469],4.9118394078992695,0,0,1,1,1,1,1,1,4,5,yes,old,98.82271468144043
5285,NDRG4,NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466],4.911258769343911,0,0,0,0,1,0,1,0,2,2,yes,new,98.81282152750296
4669,MAPK6,mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879],4.909291557411098,0,0,0,0,0,0,0,0,0,0,yes,new,98.80292837356548
2781,FBXO6,F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585],4.907952558207429,0,0,0,0,0,0,0,0,0,0,yes,new,98.79303521962801
2202,DNM3,dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125],4.9074989018826765,1,1,1,1,1,1,1,3,4,7,yes,old,98.78314206569056
706,ATP6V1A,ATPase H+ transporting V1 subunit A [Source:HGNC Symbol;Acc:HGNC:851],4.9072840355405685,0,1,1,1,1,1,1,2,4,6,yes,old,98.77324891175309
1981,DCTN1,dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711],4.905458287645176,0,1,1,1,1,1,1,2,4,6,yes,old,98.76335575781559
7243,RPS8,ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441],4.905386196402916,1,1,0,1,1,1,1,2,4,6,yes,old,98.75346260387812
4520,LRRC4C,leucine rich repeat containing 4C [Source:HGNC Symbol;Acc:HGNC:29317],4.9053766212603405,1,0,0,1,1,0,0,1,2,3,yes,old,98.74356944994064
2200,DNM1,dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972],4.905223212665531,1,1,1,1,1,1,1,3,4,7,yes,old,98.73367629600315
5729,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:HGNC:23077]",4.905040221891525,0,0,1,1,1,0,1,1,3,4,yes,old,98.7237831420657
6206,PLCG1,phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065],4.904449357136016,0,0,1,1,0,0,1,1,2,3,yes,old,98.71388998812823
8587,TGOLN2,trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450],4.904413387553412,0,0,0,0,0,0,0,0,0,0,yes,new,98.70399683419078
2556,ERBB2,erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430],4.90286320111824,1,0,1,0,0,0,0,2,0,2,yes,old,98.69410368025326
6131,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979],4.902743349599026,0,0,0,1,0,0,0,0,1,1,yes,new,98.68421052631581
7231,RPS3,ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420],4.9026917842614655,1,1,0,1,1,1,1,2,4,6,yes,old,98.67431737237831
4498,LRP1,LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692],4.900195345049854,0,1,1,1,0,1,1,2,3,5,yes,old,98.66442421844084
1834,CTNNA1,catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509],4.8979762219831375,0,1,1,1,1,1,1,2,4,6,yes,old,98.65453106450336
9529,YBX1,Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014],4.89609087010791,0,0,0,1,1,1,1,0,4,4,yes,new,98.64463791056588
3281,GPM6B,glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461],4.895576683248416,0,0,1,1,1,0,1,1,3,4,yes,old,98.6347447566284
1688,COPS5,COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240],4.894835377068858,0,0,0,0,0,0,1,0,1,1,yes,new,98.62485160269094
2897,FMR1,FMRP translational regulator 1 [Source:HGNC Symbol;Acc:HGNC:3775],4.894369721231324,1,0,0,1,1,1,1,1,4,5,yes,old,98.61495844875348
2738,FASN,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594],4.893646569873922,0,1,1,1,1,1,1,2,4,6,yes,old,98.605065294816
6512,PRKCZ,protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412],4.892940018385746,0,0,1,0,0,0,0,1,0,1,yes,old,98.59517214087853
5480,NOTCH2,notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882],4.892904190508813,0,0,0,0,0,0,0,0,0,0,yes,new,98.58527898694105
8109,SQSTM1,sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280],4.892272389750146,0,0,0,0,0,0,1,0,1,1,yes,new,98.57538583300357
7189,RPL11,ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301],4.88762545076658,1,1,0,1,1,1,1,2,4,6,yes,old,98.56549267906608
8887,TRAF6,TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036],4.883596339222686,0,0,0,0,0,0,1,0,1,1,yes,new,98.5555995251286
2746,FBL,fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599],4.8834267645315625,0,0,0,0,0,1,1,0,2,2,yes,new,98.54570637119112
1766,CRK,"CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]",4.881828863573596,0,0,0,0,0,0,1,0,1,1,yes,new,98.53581321725365
6890,RB1,RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884],4.880905207925584,0,0,0,0,0,0,0,0,0,0,yes,new,98.52592006331619
2188,DNAJC7,DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392],4.8780087040703135,0,0,0,1,0,0,1,0,2,2,yes,new,98.51602690937872
8924,TRIM28,tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384],4.8777583507534885,0,0,0,0,0,1,1,0,2,2,yes,new,98.50613375544123
8264,STX1B,syntaxin 1B [Source:HGNC Symbol;Acc:HGNC:18539],4.877531573593827,0,1,1,1,1,1,1,2,4,6,yes,old,98.49624060150377
