,genes,Synonym,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile,training positive examples,name,Receptor_Channel,Kinase_Phosphatase,Ubiquitin_E3,Vesicle_Transporters,GTP_ATP Regulators,Nucleic Acid Binding,Translation,Membrane_Cell Adhesion,Other Regulators,Scaffolds_Adaptors,Cytoskeletal,Calcium Ion Binding,Other Enzymes,Other protein binders,unknown functions,Function Total,MF Terms,HGNC Accession
14,AASDHPPT,"['CGI-80', 'LYS5', 'ACPS', 'AASD-PPT']",4.378454456444151,0,1,0,0,0,0,1,1,1,2,no,known,83.6762960031658,no,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['magnesium ion binding', 'holo-[acyl-carrier-protein] synthase activity', 'protein binding']",HGNC:14235
15,AASS,"['LKRSDH', 'LORSDH']",4.216526993236761,0,0,0,0,0,0,1,0,1,1,no,no,71.11199050257223,no,aminoadipate-semialdehyde synthase ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['histone binding', 'transcription corepressor activity', 'saccharopine dehydrogenase (NADP+, L-lysine-forming) activity', 'saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity', 'saccharopine dehydrogenase (NAD+, L-lysine-forming) activity']",HGNC:17366
16,AATK,"['PPP1R77', 'KIAA0641', 'LMTK1', 'AATYK1', 'AATYK', 'LMR1']",4.127514407770248,0,0,0,0,1,0,0,0,1,1,no,no,61.921250494657706,no,apoptosis associated tyrosine kinase ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein tyrosine kinase activity', 'protein binding', 'protein threonine kinase activity', 'protein serine kinase activity', 'ATP binding']",HGNC:21
17,ABAT,"['GABAT', 'GABA-T']",4.165347175158549,0,0,0,0,1,0,0,0,1,1,no,no,66.35338345864662,no,4-aminobutyrate aminotransferase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['succinate-semialdehyde dehydrogenase binding', 'metal ion binding', 'identical protein binding', '4-aminobutyrate:2-oxoglutarate transaminase activity', 'iron-sulfur cluster binding', '(S)-3-amino-2-methylpropionate transaminase activity', 'pyridoxal phosphate binding']",HGNC:23
18,ABCA1,"['HDLDT1', 'TGD', 'ABC1']",4.141424090791896,0,0,0,0,0,0,1,0,1,1,no,no,63.583300356153536,no,ATP binding cassette subfamily A member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['signaling receptor binding', 'ATPase activity', 'apolipoprotein A-I receptor activity', 'ATPase-coupled transmembrane transporter activity', 'high-density lipoprotein particle binding', 'phosphatidylcholine floppase activity', 'phosphatidylcholine binding', 'syntaxin binding', 'cholesterol binding', 'small GTPase binding', 'phosphatidylserine floppase activity', 'protein transmembrane transporter activity', 'sphingolipid floppase activity', 'ATPase binding', 'cholesterol transfer activity', 'apolipoprotein A-I binding', 'ATP binding']",HGNC:29
19,ABCA10,['EST698739'],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,ATP binding cassette subfamily A member 10 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['lipid transporter activity', 'ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:30
20,ABCA13,"['FLJ33951', 'FLJ33876']",4.0784281907206354,0,0,0,0,0,0,0,0,0,0,no,no,55.12465373961218,no,ATP binding cassette subfamily A member 13 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['lipid transporter activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:14638
21,ABCA2,['ABC2'],4.519322668708717,0,0,0,1,0,0,0,0,1,1,yes,new,90.71032845271073,no,ATP binding cassette subfamily A member 2 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'endopeptidase regulator activity', 'ceramide floppase activity', 'ATP binding']",HGNC:32
22,ABCA3,"['LBM180', 'ABC3', 'ABC-C', 'EST111653']",4.034074209297718,0,0,0,1,0,0,1,0,2,2,no,no,48.58527898694104,no,ATP binding cassette subfamily A member 3 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['lipid transporter activity', 'ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:33
23,ABCA4,"['RP19', 'ARMD2', 'FFM', 'STGD', 'ABCR', 'CORD3', 'STGD1']",3.7456704680277,0,0,0,0,0,0,0,0,0,0,no,no,12.02018203403245,no,ATP binding cassette subfamily A member 4 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'N-retinylidene-phosphatidylethanolamine flippase activity', 'ATPase-coupled transmembrane transporter activity', 'phosphatidylethanolamine flippase activity', 'ATP binding']",HGNC:34
24,ABCA5,['EST90625'],3.9887561516072303,0,0,0,0,0,0,0,0,0,0,no,no,42.05579738820736,no,ATP binding cassette subfamily A member 5 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['lipid transporter activity', 'ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:35
25,ABCA6,['EST155051'],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,ATP binding cassette subfamily A member 6 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['lipid transporter activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:36
26,ABCA7,['ABCX'],4.1853021401647705,0,0,0,0,0,0,0,0,0,0,no,no,68.30233478432925,no,ATP binding cassette subfamily A member 7 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'apolipoprotein A-I receptor activity', 'phosphatidylcholine floppase activity', 'ATPase-coupled transmembrane transporter activity', 'phosphatidylserine floppase activity', 'ATP binding']",HGNC:37
27,ABCA9,['EST640918'],3.774917958556359,0,0,0,0,0,0,0,0,0,0,no,no,14.513256826276214,no,ATP binding cassette subfamily A member 9 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['lipid transporter activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:39
28,ABCB1,"['GP170', 'p-170', 'ABC20', 'CLCS', 'MDR1', 'PGY1', 'P-gp', 'CD243']",3.999100072304415,0,1,0,0,0,0,0,1,0,1,no,known,43.4804115552038,no,ATP binding cassette subfamily B member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'efflux transmembrane transporter activity', 'phosphatidylcholine floppase activity', 'ATPase-coupled xenobiotic transmembrane transporter activity', 'phosphatidylethanolamine flippase activity', 'ubiquitin protein ligase binding', 'ceramide floppase activity', 'ATP binding']",HGNC:40
29,ABCB10,"['MTABC2', 'EST20237', 'M-ABC2']",3.8351105904296467,0,0,0,0,0,0,1,0,1,1,no,no,20.478828650573803,no,ATP binding cassette subfamily B member 10 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['identical protein binding', 'ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:41
30,ABCB11,"['BSEP', 'PGY4', 'PFIC-2', 'PFIC2', 'SPGP', 'ABC16']",3.8415900972908847,0,0,0,0,0,0,0,0,0,0,no,no,21.319746735259198,no,ATP binding cassette subfamily B member 11 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'canalicular bile acid transmembrane transporter activity', 'ATPase-coupled xenobiotic transmembrane transporter activity', 'sodium transmembrane transporter activity, phosphorylative mechanism', 'protein binding', 'ATPase-coupled bile acid transmembrane transporter activity', 'ATP binding']",HGNC:42
31,ABCB4,"['MDR3', 'PGY3', 'PFIC-3', 'GBD1', 'MDR2']",3.728947141236732,0,0,0,0,0,0,0,0,0,0,no,no,10.674713098535813,no,ATP binding cassette subfamily B member 4 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'phosphatidylcholine floppase activity', 'protein binding', 'ATP binding']",HGNC:45
32,ABCB5,"['ABCB5alpha', 'ABCB5beta', 'EST422562']",3.718366127983822,0,0,0,0,0,0,0,0,0,0,no,no,9.893153937475267,no,ATP binding cassette subfamily B member 5 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'efflux transmembrane transporter activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:46
33,ABCB6,"['umat', 'MTABC3', 'EST45597']",3.9616729192397453,0,0,0,0,0,0,0,0,0,0,no,no,38.34586466165413,no,ATP binding cassette subfamily B member 6 (Langereis blood group) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'efflux transmembrane transporter activity', 'heme binding', 'ATPase-coupled heme transmembrane transporter activity', 'ATP binding']",HGNC:47
34,ABCB7,"['ASAT', 'ABC7', 'EST140535', 'Atm1p']",3.9934506938170338,0,0,0,1,0,0,1,0,2,2,no,no,42.66917293233082,no,ATP binding cassette subfamily B member 7 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'heme transmembrane transporter activity', 'protein binding', 'ATP binding']",HGNC:48
35,ABCB8,"['M-ABC1', 'EST328128', 'MITOSUR', 'MABC1']",3.8613315762383458,0,1,0,0,0,0,0,1,0,1,no,known,23.882073605065287,no,ATP binding cassette subfamily B member 8 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase-coupled transmembrane transporter activity', 'ATPase activity', 'ATP binding', 'protein binding']",HGNC:49
36,ABCB9,['EST122234'],4.074017704793095,0,0,0,1,0,0,0,0,1,1,no,no,54.41234665611397,no,ATP binding cassette subfamily B member 9 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'MHC class I protein binding', 'TAP1 binding', 'protein homodimerization activity', 'ATPase-coupled peptide antigen transmembrane transporter activity', 'ATP binding']",HGNC:50
37,ABCC1,"['GS-X', 'MRP1', 'MRP']",4.096887814192785,0,0,0,0,0,0,1,0,1,1,no,no,57.716660071230706,no,ATP binding cassette subfamily C member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'efflux transmembrane transporter activity', 'ATPase-coupled vitamin B12 transmembrane transporter activity', 'glutathione transmembrane transporter activity', 'ATPase-coupled glutathione S-conjugate transmembrane transporter activity', 'ATPase-coupled xenobiotic transmembrane transporter activity', 'ATPase-coupled lipid transmembrane transporter activity', 'ABC-type transmembrane transporter activity', 'ATP binding']",HGNC:51
38,ABCC10,"['SIMRP7', 'EST182763', 'MRP7']",3.789395668249294,0,0,0,0,0,0,0,0,0,0,no,no,15.779580530273053,no,ATP binding cassette subfamily C member 10 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:52
39,ABCC2,"['CMOAT', 'cMRP', 'DJS', 'MRP2']",Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,ATP binding cassette subfamily C member 2 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'bilirubin transmembrane transporter activity', 'ATPase-coupled xenobiotic transmembrane transporter activity', 'protein domain specific binding', 'ATP binding']",HGNC:53
40,ABCC3,"['MOAT-D', 'EST90757', 'cMOAT2', 'MLP2', 'MRP3']",3.9008856829023455,0,0,0,0,0,0,0,0,0,0,no,no,29.69924812030075,no,ATP binding cassette subfamily C member 3 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled xenobiotic transmembrane transporter activity', 'ATPase-coupled bile acid transmembrane transporter activity', 'ATP binding']",HGNC:54
41,ABCC4,"['MRP4', 'MOATB', 'MOAT-B', 'EST170205']",4.014158956431735,0,0,0,0,0,0,0,0,0,0,no,no,45.666798575385826,no,ATP binding cassette subfamily C member 4 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', '15-hydroxyprostaglandin dehydrogenase (NAD+) activity', 'efflux transmembrane transporter activity', 'protein binding', 'xenobiotic transmembrane transporter activity', 'ion transmembrane transporter activity, phosphorylative mechanism', 'ATP binding']",HGNC:55
42,ABCC5,"['MRP5', 'SMRP', 'EST277145', 'MOAT-C']",4.0414278722056665,0,0,0,0,0,0,0,0,0,0,no,no,49.66363276612584,no,ATP binding cassette subfamily C member 5 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'efflux transmembrane transporter activity', 'ATPase-coupled transmembrane transporter activity', 'xenobiotic transmembrane transporter activity', 'organic anion transmembrane transporter activity', 'ATP binding']",HGNC:56
43,ABCC6,"['URG7', 'MRP6', 'EST349056', 'MLP1', 'ARA', 'PXE']",3.753431778764361,0,0,0,0,0,0,0,0,0,0,no,no,12.692916501780767,no,ATP binding cassette subfamily C member 6 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'ATP binding']",HGNC:57
44,ABCC8,"['SUR', 'HRINS', 'SUR1', 'TNDM2', 'HHF1', 'PHHI', 'HI', 'MRP8', 'ABC36']",4.7158053297246845,0,0,0,0,0,0,0,0,0,0,yes,new,96.38899881282153,no,ATP binding cassette subfamily C member 8 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ion channel binding', 'sulfonylurea receptor activity', 'ATP-activated inward rectifier potassium channel activity', 'ATPase-coupled cation transmembrane transporter activity', 'ATP binding']",HGNC:59
45,ABCC9,"['SUR2', 'CMD1O']",3.9102677313473166,0,0,0,0,0,0,0,0,0,0,no,no,31.15354174910961,no,ATP binding cassette subfamily C member 9 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'potassium channel regulator activity', 'ion channel binding', 'sulfonylurea receptor activity', 'ATP-activated inward rectifier potassium channel activity', 'ATPase-coupled cation transmembrane transporter activity', 'ATP binding']",HGNC:60
46,ABCD1,"['ALDP', 'adrenoleukodystrophy', 'ALD', 'AMN']",4.021609675710098,0,0,0,0,0,0,0,0,0,0,no,no,46.78472497032054,no,ATP binding cassette subfamily D member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ADP binding', 'ATPase-coupled fatty-acyl-CoA transmembrane transporter activity', 'enzyme binding', 'long-chain fatty acid transporter activity', 'protein homodimerization activity', 'ATP binding']",HGNC:61
47,ABCD2,"['ALDRP', 'ALDR', 'ALDL1']",4.112416880439176,0,0,0,0,0,0,0,0,0,0,no,no,59.73486347447566,no,ATP binding cassette subfamily D member 2 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'long-chain fatty acid transporter activity', 'protein homodimerization activity', 'ATP binding']",HGNC:66
48,ABCD3,"['PMP70', 'ZWS2', 'PXMP1']",4.262282326611027,0,1,0,1,1,0,1,1,3,4,no,known,75.1286110011872,no,ATP binding cassette subfamily D member 3 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'protein self-association', 'ATPase-coupled transmembrane transporter activity', 'long-chain fatty acid transporter activity', 'protein homodimerization activity', 'ATP binding']",HGNC:67
49,ABCD4,"['PXMP1L', 'EST352188', 'P70R', 'PMP69']",3.841643987116585,0,0,0,0,0,0,0,0,0,0,no,no,21.33953304313415,no,ATP binding cassette subfamily D member 4 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'protein binding', 'long-chain fatty acid transporter activity', 'ATP binding']",HGNC:68
50,ABCE1,"['RLI', 'RLI1', 'OABP', 'RNS4I', 'RNASELI', 'RNASEL1']",4.540327810766153,0,0,0,1,1,0,1,0,3,3,yes,new,91.45231499802135,no,ATP binding cassette subfamily E member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'endoribonuclease inhibitor activity', 'iron ion binding', 'protein binding', 'ribosomal small subunit binding', 'ATP binding']",HGNC:69
51,ABCF1,"['EST123147', 'ABC50']",4.2586961657993765,0,0,0,1,0,1,1,0,3,3,no,no,74.77245745943807,no,ATP binding cassette subfamily F member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['translation factor activity, RNA binding', 'ATPase activity', 'ATP binding', 'protein binding']",HGNC:70
52,ABCF2,"['M-ABC1', 'HUSSY-18', 'EST133090', 'ABC28']",4.397365658190722,0,0,0,1,0,0,1,0,2,2,no,no,85.00197863078749,no,ATP binding cassette subfamily F member 2 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATP binding']",HGNC:71
53,ABCG1,['ABC8'],3.8807841633466817,0,0,0,0,0,0,0,0,0,0,no,no,26.622477245745944,no,ATP binding cassette subfamily G member 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'phospholipid binding', 'ADP binding', 'ATPase-coupled sterol transmembrane transporter activity', 'phosphatidylcholine floppase activity', 'cholesterol binding', 'toxin transmembrane transporter activity', 'protein homodimerization activity', 'cholesterol transfer activity', 'protein heterodimerization activity', 'ATP binding']",HGNC:73
54,ABCG2,"['BCRP', 'MXR', 'CD338', 'EST157481', 'ABCP']",4.004935184523332,0,0,0,0,0,0,0,0,0,0,no,no,44.400474871389,no,ATP binding cassette subfamily G member 2 (Junior blood group) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['efflux transmembrane transporter activity', 'riboflavin transmembrane transporter activity', 'ATPase-coupled xenobiotic transmembrane transporter activity', 'urate transmembrane transporter activity', 'protein homodimerization activity', 'biotin transmembrane transporter activity', 'ATP binding']",HGNC:74
55,ABCG4,['WHITE2'],4.3309091671354585,0,0,0,0,0,0,0,0,0,0,no,no,80.55995251286109,no,ATP binding cassette subfamily G member 4 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'protein homodimerization activity', 'protein heterodimerization activity', 'ATP binding']",HGNC:13884
56,ABCG5,['STSL'],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,ATP binding cassette subfamily G member 5 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'metal ion binding', 'cholesterol transfer activity', 'protein heterodimerization activity', 'ATP binding']",HGNC:13886
