Gene Symbol,Accession,Description,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI,,,,,,,,
ACTC1,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1 - [ACTC_HUMAN]",70.82,12.0,1.0,33.0,889.0,7019.41,70.82,32.0,442.0,1116.07,68.44,31.0,447.0,377.0,42.0,5.39,,,,,,,,
VIM,P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN],83.91,12.0,57.0,67.0,866.0,8645.8,83.91,66.0,422.0,1311.41,82.4,66.0,444.0,466.0,53.6,5.12,,,,,,,,
ANK2,Q01484,Ankyrin-2 OS=Homo sapiens GN=ANK2 PE=1 SV=4 - [ANK2_HUMAN],52.57,33.0,162.0,176.0,861.0,8688.82,47.56,161.0,421.0,1270.96,51.98,172.0,440.0,3957.0,433.4,5.14,,,,,,,,
ACTA2,P62736,"Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1 - [ACTA_HUMAN]",70.82,10.0,1.0,32.0,828.0,6669.55,70.82,31.0,413.0,1030.0,68.44,30.0,415.0,377.0,42.0,5.39,,,,,,,,
MYH10,P35580-4,Isoform 4 of Myosin-10 OS=Homo sapiens GN=MYH10 - [MYH10_HUMAN],58.89,3.0,3.0,152.0,774.0,8426.6,57.6,145.0,385.0,1143.63,58.3,145.0,389.0,2007.0,232.4,5.55,,,,,,,,
MYH10,P35580,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3 - [MYH10_HUMAN],59.51,4.0,3.0,152.0,771.0,8382.14,58.55,145.0,384.0,1138.73,58.91,145.0,387.0,1976.0,228.9,5.54,,,,,,,,
TUBB6,Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1 - [TBB6_HUMAN],54.48,11.0,9.0,25.0,771.0,7977.81,54.48,25.0,376.0,1155.47,48.65,24.0,395.0,446.0,49.8,4.88,,,,,,,,
MYH9,P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],59.9,5.0,111.0,138.0,761.0,7910.87,57.19,130.0,376.0,1083.24,59.23,134.0,385.0,1960.0,226.4,5.6,,,,,,,,
HSP90AB1,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4 - [HS90B_HUMAN],75.69,5.0,42.0,68.0,746.0,8049.02,75.69,65.0,369.0,1116.3,70.86,66.0,377.0,724.0,83.2,5.03,,,,,,,,
HSP90AA1,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5 - [HS90A_HUMAN],72.27,13.0,43.0,67.0,666.0,7272.46,69.26,62.0,327.0,976.78,72.27,65.0,339.0,732.0,84.6,5.02,,,,,,,,
TUBB8,Q3ZCM7,Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=2 - [TBB8_HUMAN],29.28,5.0,2.0,15.0,630.0,5983.06,29.28,15.0,310.0,944.37,29.28,15.0,320.0,444.0,49.7,4.89,,,,,,,,
HSPA8,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1 - [HSP7C_HUMAN],65.63,16.0,37.0,43.0,590.0,6537.46,65.63,43.0,292.0,839.62,65.63,43.0,298.0,646.0,70.9,5.52,,,,,,,,
SPTBN2,O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3 - [SPTN2_HUMAN]",57.45,11.0,110.0,132.0,566.0,4694.37,54.06,122.0,279.0,780.71,56.61,129.0,287.0,2390.0,271.2,6.11,,,,,,,,
FASN,P49327,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3 - [FAS_HUMAN],46.67,5.0,101.0,101.0,555.0,5532.98,42.57,94.0,272.0,784.67,46.67,101.0,283.0,2511.0,273.3,6.44,,,,,,,,
PRPH,F8W835,Peripherin (Fragment) OS=Homo sapiens GN=PRPH PE=2 SV=2 - [F8W835_HUMAN],88.89,1.0,1.0,36.0,554.0,5143.95,88.89,36.0,272.0,806.56,83.09,35.0,282.0,207.0,24.5,4.89,,,,,,,,
NES,P48681,Nestin OS=Homo sapiens GN=NES PE=1 SV=2 - [NEST_HUMAN],50.59,4.0,85.0,85.0,534.0,6379.74,50.34,80.0,264.0,836.53,49.85,84.0,270.0,1621.0,177.3,4.36,,,,,,,,
DPYSL2,Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1 - [DPYL2_HUMAN],71.33,3.0,27.0,32.0,498.0,7536.19,68.53,31.0,245.0,890.19,71.33,32.0,253.0,572.0,62.3,6.38,,,,,,,,
KIF5C,O60282,Kinesin heavy chain isoform 5C OS=Homo sapiens GN=KIF5C PE=1 SV=1 - [KIF5C_HUMAN],73.35,4.0,52.0,73.0,433.0,4755.69,70.85,68.0,210.0,614.18,73.35,72.0,223.0,957.0,109.4,6.19,,,,,,,,
MYO5A,Q9Y4I1-2,Isoform 2 of Unconventional myosin-Va OS=Homo sapiens GN=MYO5A - [MYO5A_HUMAN],43.44,17.0,80.0,80.0,422.0,4101.16,42.61,79.0,208.0,609.78,41.74,77.0,214.0,1828.0,212.1,8.6,,,,,,,,
KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]",57.92,1.0,36.0,40.0,390.0,5416.52,57.92,40.0,194.0,611.49,57.92,39.0,196.0,644.0,66.0,8.12,,,,,,,,
,A6NKZ8,Putative tubulin beta chain-like protein ENSP00000290377 OS=Homo sapiens PE=5 SV=2 - [YI016_HUMAN],22.58,1.0,2.0,9.0,388.0,2950.52,20.16,8.0,192.0,572.51,22.58,9.0,196.0,372.0,41.7,4.87,,,,,,,,
ACTBL2,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2 - [ACTBL_HUMAN],41.22,1.0,5.0,16.0,383.0,3046.28,38.3,15.0,192.0,411.11,41.22,16.0,191.0,376.0,42.0,5.59,,,,,,,,
CNTN1,Q12860,Contactin-1 OS=Homo sapiens GN=CNTN1 PE=1 SV=1 - [CNTN1_HUMAN],51.77,8.0,52.0,52.0,376.0,3986.52,49.8,49.0,186.0,526.79,50.69,50.0,190.0,1018.0,113.2,5.9,,,,,,,,
ATP1A3,P13637,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3 - [AT1A3_HUMAN],54.39,14.0,38.0,57.0,375.0,5459.55,53.5,56.0,186.0,573.06,54.39,55.0,189.0,1013.0,111.7,5.38,,,,,,,,
PRKDC,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3 - [PRKDC_HUMAN],29.02,5.0,112.0,112.0,374.0,3196.4,27.54,101.0,182.0,438.86,28.32,108.0,192.0,4128.0,468.8,7.12,,,,,,,,
FLNC,Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3 - [FLNC_HUMAN],47.45,2.0,85.0,95.0,371.0,3224.19,47.23,94.0,183.0,520.57,46.72,92.0,188.0,2725.0,290.8,5.97,,,,,,,,
DPYSL3,Q14195-2,Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 - [DPYL3_HUMAN],61.7,4.0,29.0,35.0,369.0,5362.54,61.7,34.0,179.0,636.06,61.7,35.0,190.0,684.0,73.9,6.35,,,,,,,,
GAPDH,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3 - [G3P_HUMAN],75.22,4.0,34.0,34.0,359.0,4355.62,74.03,32.0,177.0,610.56,74.03,33.0,182.0,335.0,36.0,8.46,,,,,,,,
PLEC,Q15149-7,Isoform 7 of Plectin OS=Homo sapiens GN=PLEC - [PLEC_HUMAN],30.79,21.0,107.0,112.0,345.0,2587.78,28.08,103.0,169.0,433.39,30.21,109.0,176.0,4515.0,512.3,5.77,,,,,,,,
EEF1A1,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 - [EF1A1_HUMAN],58.01,4.0,20.0,32.0,342.0,3272.03,58.01,32.0,162.0,546.68,58.01,32.0,180.0,462.0,50.1,9.01,,,,,,,,
POTEF,A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2 - [POTEF_HUMAN],8.74,2.0,2.0,9.0,337.0,3640.19,8.74,9.0,164.0,447.18,8.09,8.0,173.0,1075.0,121.4,6.2,,,,,,,,
CRMP1,Q14194-2,Isoform LCRMP-1 of Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 - [DPYL1_HUMAN],66.62,2.0,7.0,37.0,330.0,3926.24,60.06,35.0,163.0,550.84,66.62,36.0,167.0,686.0,74.2,6.86,,,,,,,,
HSPD1,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2 - [CH60_HUMAN]",73.47,8.0,44.0,44.0,328.0,4833.85,73.47,44.0,165.0,540.75,72.08,43.0,163.0,573.0,61.0,5.87,,,,,,,,
GAP43,P17677,Neuromodulin OS=Homo sapiens GN=GAP43 PE=1 SV=1 - [NEUM_HUMAN],91.18,3.0,32.0,32.0,326.0,4265.86,91.18,32.0,163.0,594.58,91.18,30.0,163.0,238.0,24.8,4.72,,,,,,,,
ATP5B,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 - [ATPB_HUMAN]",62.38,7.0,26.0,26.0,322.0,4397.43,62.38,26.0,160.0,552.06,62.38,26.0,162.0,529.0,56.5,5.4,,,,,,,,
EPB41L3,F5GX05,Band 4.1-like protein 3 OS=Homo sapiens GN=EPB41L3 PE=2 SV=1 - [F5GX05_HUMAN],63.42,12.0,3.0,52.0,321.0,4124.52,62.74,50.0,160.0,478.28,59.23,49.0,161.0,883.0,98.4,5.34,,,,,,,,
ATP5A1,P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1 - [ATPA_HUMAN]",65.1,9.0,38.0,38.0,320.0,4664.92,65.1,38.0,161.0,498.95,63.65,37.0,159.0,553.0,59.7,9.13,,,,,,,,
EEF2,P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4 - [EF2_HUMAN],46.04,1.0,42.0,42.0,316.0,3091.82,46.04,42.0,158.0,411.56,44.99,39.0,158.0,858.0,95.3,6.83,,,,,,,,
ACLY,P53396-2,Isoform 2 of ATP-citrate synthase OS=Homo sapiens GN=ACLY - [ACLY_HUMAN],45.92,6.0,45.0,45.0,316.0,3096.58,44.18,43.0,154.0,395.42,45.37,43.0,162.0,1091.0,119.7,7.33,,,,,,,,
CRMP1,Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=1 SV=1 - [DPYL1_HUMAN],64.51,2.0,1.0,31.0,310.0,3756.59,64.51,30.0,154.0,518.95,64.51,30.0,156.0,572.0,62.1,7.03,,,,,,,,
GNAO1,P09471,Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens GN=GNAO1 PE=1 SV=4 - [GNAO_HUMAN],52.54,6.0,20.0,23.0,310.0,3406.7,52.54,23.0,163.0,409.41,52.54,23.0,147.0,354.0,40.0,5.53,,,,,,,,
PKM,P14618,Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN],71.0,11.0,4.0,36.0,306.0,3925.68,71.0,36.0,150.0,521.61,70.06,35.0,156.0,531.0,57.9,7.84,,,,,,,,
EPB41L3,Q9Y2J2,Band 4.1-like protein 3 OS=Homo sapiens GN=EPB41L3 PE=1 SV=2 - [E41L3_HUMAN],52.16,11.0,1.0,52.0,303.0,3737.34,51.61,50.0,150.0,447.02,48.76,49.0,153.0,1087.0,120.6,5.19,,,,,,,,
CCT3,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4 - [TCPG_HUMAN],62.75,10.0,35.0,35.0,301.0,3152.44,61.65,34.0,145.0,428.3,62.75,35.0,156.0,545.0,60.5,6.49,,,,,,,,
UBA1,P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3 - [UBA1_HUMAN],40.08,7.0,39.0,39.0,299.0,3663.94,39.04,37.0,144.0,464.83,40.08,39.0,155.0,1058.0,117.8,5.76,,,,,,,,
HSPA5,P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2 - [GRP78_HUMAN],56.12,4.0,38.0,40.0,291.0,3479.16,56.12,39.0,144.0,450.47,55.66,39.0,147.0,654.0,72.3,5.16,,,,,,,,
PKM,P14618-2,Isoform M1 of Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM - [KPYM_HUMAN],67.42,12.0,4.0,36.0,283.0,3291.61,67.42,36.0,139.0,470.08,66.29,34.0,144.0,531.0,58.0,7.71,,,,,,,,
KRT2,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]",65.1,4.0,30.0,38.0,280.0,4113.17,65.1,38.0,138.0,402.25,65.1,38.0,142.0,639.0,65.4,8.0,,,,,,,,
MACF1,Q9UPN3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4 - [MACF1_HUMAN]",15.8,16.0,2.0,92.0,274.0,2546.63,14.4,82.0,134.0,382.38,15.2,87.0,140.0,7388.0,837.8,5.39,,,,,,,,
MACF1,H3BPE1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=2 SV=1 - [H3BPE1_HUMAN]",15.49,17.0,1.0,91.0,274.0,2544.94,14.15,82.0,134.0,383.97,14.9,86.0,140.0,7555.0,856.3,5.39,,,,,,,,
EPRS,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5 - [SYEP_HUMAN],47.62,1.0,65.0,65.0,273.0,2039.97,45.57,61.0,134.0,346.94,47.16,62.0,139.0,1512.0,170.5,7.33,,,,,,,,
KRT8,P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]",61.08,19.0,34.0,42.0,269.0,2025.89,61.08,41.0,134.0,357.34,61.08,41.0,135.0,483.0,53.7,5.59,,,,,,,,
KRT10,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]",47.6,12.0,23.0,30.0,268.0,3308.85,47.6,30.0,132.0,389.39,47.6,30.0,136.0,584.0,58.8,5.21,,,,,,,,
HK1,P19367,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3 - [HXK1_HUMAN],50.16,12.0,51.0,55.0,267.0,2300.99,47.76,51.0,131.0,331.94,49.18,53.0,136.0,917.0,102.4,6.8,,,,,,,,
VCP,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4 - [TERA_HUMAN],65.51,7.0,54.0,54.0,258.0,2606.93,62.16,52.0,126.0,338.97,65.51,53.0,132.0,806.0,89.3,5.26,,,,,,,,
DBN1,Q16643,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4 - [DREB_HUMAN],53.78,7.0,2.0,40.0,257.0,2929.47,53.62,38.0,124.0,429.79,53.78,40.0,133.0,649.0,71.4,4.45,,,,,,,,
DBN1,A8MV58,Drebrin OS=Homo sapiens GN=DBN1 PE=2 SV=1 - [A8MV58_HUMAN],50.22,4.0,3.0,41.0,249.0,2921.2,48.63,38.0,122.0,415.73,50.22,40.0,127.0,695.0,76.3,4.51,,,,,,,,
PYGB,P11216,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5 - [PYGB_HUMAN]",54.92,5.0,40.0,46.0,244.0,1973.23,50.65,43.0,118.0,341.66,54.92,46.0,126.0,843.0,96.6,6.86,,,,,,,,
DCTN1,Q14203-6,Isoform 6 of Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 - [DCTN1_HUMAN],46.58,20.0,49.0,50.0,236.0,2523.47,44.3,48.0,115.0,344.44,45.55,49.0,121.0,1271.0,140.8,5.67,,,,,,,,
AP2B1,P63010,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1 - [AP2B1_HUMAN],47.17,11.0,22.0,44.0,232.0,1765.44,46.53,43.0,115.0,274.72,47.17,44.0,117.0,937.0,104.5,5.38,,,,,,,,
CCT2,P78371,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4 - [TCPB_HUMAN],71.21,4.0,35.0,35.0,231.0,3546.31,68.79,33.0,113.0,369.68,71.21,35.0,118.0,535.0,57.5,6.46,,,,,,,,
KRT9,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]",52.01,2.0,24.0,25.0,230.0,4177.08,52.01,25.0,114.0,377.33,52.01,25.0,116.0,623.0,62.0,5.24,,,,,,,,
GPRIN1,Q7Z2K8,G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens GN=GPRIN1 PE=2 SV=2 - [GRIN1_HUMAN],51.59,2.0,51.0,51.0,228.0,2468.41,50.89,49.0,111.0,371.58,50.79,50.0,117.0,1008.0,102.3,8.06,,,,,,,,
ACTN4,O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2 - [ACTN4_HUMAN],57.96,11.0,27.0,53.0,226.0,1905.68,52.58,50.0,108.0,318.42,57.3,52.0,118.0,911.0,104.8,5.44,,,,,,,,
HSPA4,P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4 - [HSP74_HUMAN],55.36,1.0,35.0,38.0,226.0,2568.12,55.36,36.0,110.0,294.1,53.81,37.0,116.0,840.0,94.3,5.19,,,,,,,,
NSF,I3L0N3,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=2 SV=1 - [I3L0N3_HUMAN],50.47,8.0,42.0,42.0,225.0,1925.55,48.44,40.0,111.0,249.78,47.23,39.0,114.0,739.0,82.0,6.81,,,,,,,,
HSPA9,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2 - [GRP75_HUMAN]",49.34,5.0,28.0,28.0,224.0,2520.35,49.34,28.0,112.0,287.87,49.34,28.0,112.0,679.0,73.6,6.16,,,,,,,,
CCT5,P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1 - [TCPE_HUMAN],64.14,7.0,31.0,32.0,222.0,1664.7,64.14,32.0,108.0,281.41,63.03,31.0,114.0,541.0,59.6,5.66,,,,,,,,
HUWE1,Q7Z6Z7-2,Isoform 2 of E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 - [HUWE1_HUMAN],18.24,8.0,55.0,55.0,221.0,2188.96,16.75,51.0,107.0,299.98,18.24,55.0,114.0,4358.0,479.9,5.24,,,,,,,,
HSPA1A,P08107,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5 - [HSP71_HUMAN],51.95,5.0,29.0,34.0,219.0,1886.15,47.43,31.0,106.0,269.79,51.95,34.0,113.0,641.0,70.0,5.66,,,,,,,,
ATP6V1A,B7Z1R5,V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=2 SV=1 - [B7Z1R5_HUMAN],54.79,4.0,29.0,29.0,217.0,2225.44,54.79,28.0,109.0,272.87,54.79,29.0,108.0,584.0,64.7,5.66,,,,,,,,
HSP90B1,P14625,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1 - [ENPL_HUMAN],49.44,4.0,36.0,38.0,217.0,2041.31,49.07,36.0,106.0,303.14,49.44,37.0,111.0,803.0,92.4,4.84,,,,,,,,
AP2A1,O95782-2,Isoform B of AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 - [AP2A1_HUMAN],50.37,5.0,32.0,43.0,213.0,1770.8,49.32,41.0,107.0,281.81,45.34,39.0,106.0,955.0,105.3,7.66,,,,,,,,
CCT4,P50991,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4 - [TCPD_HUMAN],66.23,4.0,30.0,31.0,210.0,2523.15,65.31,30.0,104.0,316.49,66.23,31.0,106.0,539.0,57.9,7.83,,,,,,,,
FSCN1,Q16658,Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3 - [FSCN1_HUMAN],72.41,5.0,34.0,34.0,209.0,2077.72,72.41,31.0,102.0,272.59,72.41,34.0,107.0,493.0,54.5,7.24,,,,,,,,
