Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
10,OSBPL2,"['sterol transporter activity', 'membrane', 'bile acid biosynthetic process', 'cytosol', 'sterol transport', 'intracellular membrane-bounded organelle', 'protein binding', 'cholesterol binding']",0,1,1,2,0
11,DNAH8,"['dynein intermediate chain binding', 'dynein light chain binding', 'microtubule', 'cilium-dependent cell motility', 'outer dynein arm assembly', 'dynein light intermediate chain binding', 'ATP binding', 'microtubule-based movement', 'outer dynein arm', 'ATP-dependent microtubule motor activity, minus-end-directed']",0,0,2,1,0
12,RXFP2,"['hormone-mediated signaling pathway', 'protein-hormone receptor activity', 'peptide hormone binding', 'integral component of plasma membrane', 'G protein-coupled peptide receptor activity', 'adenylate cyclase-activating G protein-coupled receptor signaling pathway', 'negative regulation of cell population proliferation', 'male gonad development', 'negative regulation of apoptotic process', 'positive regulation of cAMP-mediated signaling', 'adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway', 'activation of adenylate cyclase activity', 'oocyte maturation']",1,0,0,2,1
13,SCRIB,"['Scrib-APC-beta-catenin complex', 'auditory receptor cell stereocilium organization', 'cochlear nucleus development', 'glutamatergic synapse', 'nucleoplasm', 'neurotransmitter receptor transport postsynaptic membrane to endosome', 'establishment of apical/basal cell polarity', 'basolateral plasma membrane', 'establishment or maintenance of epithelial cell apical/basal polarity', 'extracellular exosome', 'neural tube closure', 'cell-cell adherens junction', 'suppression by virus of host STAT2 activity', 'synaptic vesicle targeting', 'protein localization to adherens junction', 'regulation of postsynaptic neurotransmitter receptor internalization', 'positive regulation of apoptotic process', 'mammary gland duct morphogenesis', 'activation of GTPase activity', 'cell-cell contact zone', 'synaptic vesicle endocytosis', 'extrinsic component of postsynaptic density membrane', 'cell-cell adhesion', 'receptor clustering', 'positive chemotaxis', 'wound healing', 'neurotransmitter receptor transport, endosome to postsynaptic membrane', 'lamellipodium', 'ionotropic glutamate receptor binding', 'presynaptic membrane', 'cadherin binding', 'suppression by virus of host type I interferon-mediated signaling pathway', 'negative regulation of mitotic cell cycle', 'suppression by virus of host STAT1 activity', 'ionotropic glutamate receptor complex', 'myelin sheath abaxonal region', 'positive regulation of receptor recycling', 'astrocyte cell migration', 'cell population proliferation', 'apoptotic process involved in morphogenesis']",2,2,3,3,2
14,SERPINA4,"['negative regulation of endopeptidase activity', 'extracellular exosome', 'platelet dense granule lumen', 'platelet degranulation', 'serine-type endopeptidase inhibitor activity']",0,0,0,0,0
15,ASTN2,"['integral component of membrane', 'cell pole', 'calcium ion binding', 'perikaryon', 'negative regulation of protein localization to cell surface', 'late endosome', 'establishment of body hair planar orientation', 'inositol 1,3,4,5 tetrakisphosphate binding', 'clathrin-coated vesicle', 'protein transport', 'cell cortex', 'early endosome']",1,2,0,1,0
16,GNB4,"['substantia nigra development', 'extracellular exosome', 'protein folding', 'protein-containing complex binding', 'lysosomal membrane', 'cytosol', 'signal transduction']",2,0,0,1,1
17,CELSR1,"['protein dimerization activity', 'anterior/posterior pattern specification', 'nucleoplasm', 'orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis', 'hair follicle development', 'homophilic cell adhesion via plasma membrane adhesion molecules', 'inner ear morphogenesis', 'planar dichotomous subdivision of terminal units involved in lung branching morphogenesis', 'planar cell polarity pathway involved in neural tube closure', 'establishment of body hair planar orientation', 'lateral sprouting involved in lung morphogenesis', 'neuron migration', 'protein localization involved in establishment of planar polarity', 'calcium ion binding', 'wound healing', 'central nervous system development', 'G protein-coupled receptor signaling pathway', 'regulation of actin cytoskeleton organization', 'integral component of plasma membrane', 'apical protein localization', 'Rho protein signal transduction', 'G protein-coupled receptor activity', 'locomotory behavior']",3,1,3,1,2
18,ZNF534,"['DNA binding', 'metal ion binding', 'regulation of transcription by RNA polymerase II', 'nucleus', 'DNA-binding transcription factor activity, RNA polymerase II-specific']",0,0,0,1,0
19,PSMB9,"['SCF-dependent proteasomal ubiquitin-dependent protein catabolic process', 'tumor necrosis factor-mediated signaling pathway', 'proteasomal ubiquitin-independent protein catabolic process', 'Fc-epsilon receptor signaling pathway', 'nucleoplasm', 'MAPK cascade', 'anaphase-promoting complex-dependent catabolic process', 'proteasome core complex, beta-subunit complex', 'post-translational protein modification', 'negative regulation of G2/M transition of mitotic cell cycle', 'Wnt signaling pathway, planar cell polarity pathway', 'regulation of cellular amino acid metabolic process', 'extracellular exosome', 'threonine-type endopeptidase activity', 'regulation of transcription from RNA polymerase II promoter in response to hypoxia', 'transmembrane transport', 'regulation of hematopoietic stem cell differentiation', 'protein binding', 'interleukin-1-mediated signaling pathway', 'stimulatory C-type lectin receptor signaling pathway', 'positive regulation of canonical Wnt signaling pathway', 'cytosol', 'antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent', 'T cell receptor signaling pathway', 'regulation of cysteine-type endopeptidase activity', 'viral process', 'regulation of mRNA stability', 'spermatoproteasome complex', 'negative regulation of canonical Wnt signaling pathway', 'NIK/NF-kappaB signaling', 'protein deubiquitination', 'protein polyubiquitination']",2,1,0,5,0
20,CLTB,"['membrane organization', 'peptide binding', 'clathrin-dependent endocytosis', 'intracellular protein transport', 'synaptic vesicle membrane', 'ciliary membrane', 'clathrin coat of trans-Golgi network vesicle', 'trans-Golgi network', 'clathrin-coated endocytic vesicle', 'cytosol', 'clathrin coat of coated pit', 'clathrin coat assembly', 'structural molecule activity', 'clathrin heavy chain binding', 'presynaptic endocytic zone membrane', 'postsynaptic endocytic zone cytoplasmic component']",0,1,2,1,0
21,TJP2,"['hippo signaling', 'intestinal absorption', 'GDP metabolic process', 'plasma membrane', 'nucleoplasm', 'protein domain specific binding', 'regulation of membrane permeability', 'cytosol', 'establishment of endothelial intestinal barrier', 'protein binding, bridging', 'guanylate kinase activity', 'GMP metabolic process', 'adherens junction', 'cadherin binding', 'bicellular tight junction']",1,0,1,3,0
22,BLVRB,"['heme catabolic process', 'terminal bouton', 'plasma membrane', 'extracellular exosome', 'nucleoplasm', 'biliverdin reductase activity', 'riboflavin reductase (NADPH) activity', 'cytosol', 'oxidation-reduction process']",0,0,0,2,0
23,ARPIN,"['negative regulation of cell migration', 'negative regulation of actin nucleation', 'protein binding', 'lamellipodium', 'negative regulation of lamellipodium morphogenesis', 'directional locomotion']",0,0,0,1,1
24,EIF3K,"['eukaryotic 43S preinitiation complex', 'nucleus', 'membrane', 'ribosome binding', 'eukaryotic 48S preinitiation complex', 'formation of cytoplasmic translation initiation complex', 'cytosol', 'eukaryotic translation initiation factor 3 complex', 'protein binding', 'translation initiation factor activity', 'regulation of translational initiation']",0,0,0,1,0
25,CSNK2A1,"['positive regulation of Wnt signaling pathway', 'PcG protein complex', 'positive regulation of protein catabolic process', 'phosphatidylcholine biosynthetic process', 'plasma membrane', 'identical protein binding', 'peptidyl-threonine phosphorylation', 'peptidyl-serine phosphorylation', 'regulation of signal transduction by p53 class mediator', 'positive regulation of cell population proliferation', 'regulation of chromosome separation', 'macroautophagy', 'negative regulation of apoptotic signaling pathway', 'protein serine/threonine kinase activity', 'positive regulation of cell growth', 'protein N-terminus binding', 'protein kinase CK2 complex', 'Hsp90 protein binding', 'rhythmic process', 'cytosol', 'chaperone-mediated protein folding', 'NuRD complex', 'negative regulation of ubiquitin-dependent protein catabolic process', 'negative regulation of cysteine-type endopeptidase activity involved in apoptotic process', 'Sin3 complex', 'ATP binding']",3,0,0,3,1
26,CCDC124,"['cell cycle', 'plasma membrane', 'midbody', 'cell division', 'cytosol', 'microtubule organizing center', 'RNA binding']",0,0,2,1,0
27,LILRB4,"['integral component of membrane', 'extracellular exosome', 'plasma membrane', 'antigen binding', 'signaling receptor activity', 'negative regulation of T cell receptor signaling pathway', 'negative regulation of protein localization to nucleus', 'protein binding', 'positive regulation of regulatory T cell differentiation', 'adaptive immune response', 'negative regulation of pri-miRNA transcription by RNA polymerase II', 'negative regulation of osteoclast differentiation']",2,1,0,1,0
28,RALYL,"['RNA binding', 'nucleus', 'identical protein binding']",0,0,0,1,0
29,SPIN3,"['methylated histone binding', 'nucleoplasm', 'gamete generation', 'cytosol']",0,0,0,1,1
30,MPLKIP,"['cell cycle', 'nucleoplasm', 'cell division', 'Golgi apparatus', 'centrosome', 'protein binding', 'midbody']",0,0,0,1,0
31,RET,"['endosome membrane', 'positive regulation of cell adhesion mediated by integrin', 'positive regulation of extrinsic apoptotic signaling pathway in absence of ligand', 'retina development in camera-type eye', 'activation of MAPK activity', 'intracellular membrane-bounded organelle', 'homophilic cell adhesion via plasma membrane adhesion molecules', 'regulation of axonogenesis', 'transmembrane receptor protein tyrosine kinase activity', 'ureteric bud development', 'neuronal cell body', 'axon', 'neuron cell-cell adhesion', 'embryonic epithelial tube formation', 'membrane raft', 'plasma membrane protein complex', 'protein binding', 'positive regulation of cell migration', 'positive regulation of peptidyl-serine phosphorylation of STAT protein', 'glial cell-derived neurotrophic factor receptor signaling pathway', 'dendrite', 'positive regulation of neuron maturation', 'ureter maturation', 'axon guidance', 'calcium ion binding', 'posterior midgut development', 'positive regulation of neuron projection development', 'neural crest cell migration', 'cytosol', 'innervation', 'cellular response to retinoic acid', 'positive regulation of protein kinase B signaling', 'early endosome', 'positive regulation of cell size', 'integral component of plasma membrane', 'response to drug', 'positive regulation of transcription, DNA-templated', 'positive regulation of metanephric glomerulus development', 'membrane protein proteolysis', ""Peyer's patch morphogenesis"", 'receptor complex', 'lymphocyte migration into lymphoid organs', 'peptidyl-tyrosine phosphorylation', 'response to pain', 'ATP binding', 'enteric nervous system development']",4,0,2,1,2
32,DPP6,"['regulation of potassium ion transmembrane transport', 'serine-type peptidase activity', 'protein localization to plasma membrane', 'potassium channel regulator activity', 'proteolysis', 'voltage-gated potassium channel complex']",0,2,0,0,0
33,RPL19,"['5.8S rRNA binding', 'cytoplasmic translation', 'focal adhesion', 'membrane', 'structural constituent of ribosome', 'translational initiation', 'polysomal ribosome', 'large ribosomal subunit rRNA binding', 'viral transcription', 'protein binding', 'nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'SRP-dependent cotranslational protein targeting to membrane', 'liver regeneration', 'cytosolic large ribosomal subunit']",0,0,1,3,1
34,LRBA,"['integral component of membrane', 'molecular_function', 'plasma membrane', 'biological_process', 'Golgi apparatus', 'endoplasmic reticulum', 'lysosome']",0,0,0,1,0
35,RND1,"['GTPase activity', 'neuron remodeling', 'cell division site', 'signaling receptor binding', 'regulation of cell migration', 'plasma membrane', 'GTP binding', 'actin filament bundle assembly', 'actin cytoskeleton', 'cytosol', 'protein kinase binding', 'intracellular membrane-bounded organelle', 'Rho protein signal transduction', 'regulation of cell shape', 'regulation of actin cytoskeleton organization', 'negative regulation of cell adhesion', 'adherens junction', 'establishment or maintenance of actin cytoskeleton polarity', 'cell cortex']",2,0,5,1,0
36,ACAP3,"['regulation of neuron projection development', 'growth cone', 'metal ion binding', 'GTPase activator activity', 'positive regulation of GTPase activity', 'neuron migration']",0,0,0,1,2
37,SYBU,"['integral component of membrane', 'syntaxin-1 binding', 'Golgi membrane', 'dense body', 'microtubule', 'axonal transport of mitochondrion', 'kinesin binding', 'synapse maturation', 'anterograde neuronal dense core vesicle transport', 'cytoplasmic vesicle', 'positive regulation of insulin secretion involved in cellular response to glucose stimulus', 'microtubule binding', 'regulation of synaptic activity', 'axon cytoplasm']",1,1,1,2,0
38,ROBO1,"['aortic valve morphogenesis', 'negative regulation of mammary gland epithelial cell proliferation', 'identical protein binding', 'positive regulation of axonogenesis', 'homophilic cell adhesion via plasma membrane adhesion molecules', 'axon', 'negative regulation of chemokine-mediated signaling pathway', 'pulmonary valve morphogenesis', 'ventricular septum morphogenesis', 'cell migration involved in sprouting angiogenesis', 'cell surface', 'LRR domain binding', 'chemorepulsion involved in postnatal olfactory bulb interneuron migration', 'positive regulation of Notch signaling pathway involved in heart induction', 'positive regulation of Rho protein signal transduction', 'Roundabout signaling pathway', 'positive regulation of MAP kinase activity', 'axon guidance receptor activity', 'activation of cysteine-type endopeptidase activity involved in apoptotic process', 'negative regulation of gene expression', 'negative regulation of cell migration', 'endoplasmic reticulum-Golgi intermediate compartment membrane', 'integral component of plasma membrane', 'positive regulation of gene expression', 'outflow tract septum morphogenesis', 'axon midline choice point recognition', 'positive regulation of vascular endothelial growth factor signaling pathway', 'aorta development', 'endocardial cushion formation', 'negative regulation of negative chemotaxis']",2,0,1,2,3
39,RNASEH2B,"['regulation of G2/M transition of mitotic cell cycle', 'regulation of DNA damage checkpoint', 'negative regulation of gene expression', 'ribonuclease H2 complex', 'nucleoplasm', 'ribonucleotide metabolic process', 'positive regulation of fibroblast proliferation', 'RNA phosphodiester bond hydrolysis, endonucleolytic', 'RNA catabolic process', 'in utero embryonic development', 'RNA-DNA hybrid ribonuclease activity']",0,0,0,4,1
40,STAT6,"['identical protein binding', 'nucleoplasm', 'nuclear chromatin', 'cellular response to hydrogen peroxide', 'T-helper 1 cell lineage commitment', 'mammary gland morphogenesis', 'cellular response to reactive nitrogen species', 'regulation of cell population proliferation', 'RNA polymerase II proximal promoter sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'membrane raft', 'negative regulation of transcription by RNA polymerase II', 'nuclear membrane', 'interleukin-4-mediated signaling pathway', 'cytosol', 'positive regulation of transcription by RNA polymerase II', 'positive regulation of type I interferon production', 'positive regulation of isotype switching to IgE isotypes', 'positive regulation of cold-induced thermogenesis', 'protein phosphatase binding', 'negative regulation of type 2 immune response', 'mammary gland epithelial cell proliferation']",2,0,0,1,1
41,CMPK1,"['extracellular exosome', 'nucleoside triphosphate biosynthetic process', ""'de novo' pyrimidine nucleobase biosynthetic process"", 'nucleoside diphosphate kinase activity', 'uridine kinase activity', 'cytosol', 'uridylate kinase activity', 'UMP biosynthetic process', 'cytidylate kinase activity', 'nucleoside diphosphate phosphorylation', 'nucleolus', 'nucleobase-containing small molecule interconversion', 'ATP binding', 'nucleoside monophosphate phosphorylation']",1,0,0,2,0
42,YIF1A,"['integral component of Golgi membrane', 'endoplasmic reticulum membrane', 'IRE1-mediated unfolded protein response', 'vesicle-mediated transport', 'endoplasmic reticulum-Golgi intermediate compartment', 'COPII-coated ER to Golgi transport vesicle', 'protein binding', 'protein transport']",1,1,0,1,0
43,DNAJB1,"['glutamatergic synapse', 'nucleoplasm', 'negative regulation of inclusion body assembly', 'nucleolus', 'neuronal cell body', 'regulation of cellular response to heat', 'extracellular exosome', 'chaperone binding', 'postsynaptic density', 'Hsp70 protein binding', 'unfolded protein binding', 'positive regulation of ATPase activity', 'cytosol', 'sperm head', 'forebrain development', 'ATPase binding', 'dendritic spine', 'ATPase activator activity', 'cadherin binding', 'transcription corepressor activity', 'chaperone cofactor-dependent protein refolding', 'negative regulation of transcription from RNA polymerase II promoter in response to stress', 'response to unfolded protein']",1,0,1,1,1
44,TRIO,"['transmembrane receptor protein tyrosine phosphatase signaling pathway', 'protein phosphorylation', 'negative regulation of fat cell differentiation', 'protein serine/threonine kinase activity', 'regulation of Rho protein signal transduction', 'Rho guanyl-nucleotide exchange factor activity', 'positive regulation of apoptotic process', 'cytosol', 'G protein-coupled receptor signaling pathway', 'ATP binding']",3,0,0,2,0
45,RHOD,"['endosome membrane', 'cell division site', 'plasma membrane', 'regulation of small GTPase mediated signal transduction', 'protein kinase binding', 'intracellular membrane-bounded organelle', 'regulation of focal adhesion assembly', 'GTP binding', 'cell cortex', 'positive regulation of cell migration', 'establishment or maintenance of actin cytoskeleton polarity', 'positive regulation of cell adhesion', 'protein targeting', 'cytosol', 'early endosome', 'GTPase activity', 'regulation of actin cytoskeleton reorganization', 'actin filament bundle assembly', 'lamellipodium assembly', 'Rho protein signal transduction', 'regulation of cell shape']",2,0,4,1,0
46,TNP1,"['single strand break repair', 'DNA binding', 'nuclear nucleosome', 'multicellular organism development', 'fertilization, exchange of chromosomal proteins', 'spermatogenesis, exchange of chromosomal proteins', 'spermatid nucleus elongation', 'flagellated sperm motility', 'male germ cell nucleus', 'chromatin silencing', 'nucleosome disassembly', 'protein binding', 'positive regulation of protein processing']",0,0,2,2,2
47,RAB43,"['GTPase activity', 'intracellular protein transport', 'endoplasmic reticulum membrane', 'GTP binding', 'Rab protein signal transduction', 'extracellular exosome', 'retrograde transport, plasma membrane to Golgi', 'cellular response to interferon-gamma', 'toxin transport', 'Golgi organization', 'phagocytic vesicle membrane', 'protein binding', 'endoplasmic reticulum to Golgi vesicle-mediated transport', 'trans-Golgi network membrane', 'virion assembly', 'phagosome maturation']",3,1,2,1,0
48,ZNF292,"['metal ion binding', 'DNA binding', 'nucleus', 'positive regulation of transcription by RNA polymerase II', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,1,0
49,BLM,"[""8-hydroxy-2'-deoxyguanosine DNA binding"", 'bubble DNA binding', 'double-strand break repair via nonhomologous end joining', 'resolution of meiotic recombination intermediates', 'protein homodimerization activity', ""ATP-dependent 3'-5' DNA helicase activity"", 'replication fork protection', 'replication fork', 'cellular response to camptothecin', 'chromosome, telomeric region', 'resolution of recombination intermediates', 'nucleolus', 'negative regulation of double-strand break repair via single-strand annealing', 'regulation of signal transduction by p53 class mediator', 'annealing helicase activity', 'DNA duplex unwinding', 'negative regulation of cell division', 'telomeric D-loop disassembly', 'nuclear matrix', 'single-stranded DNA binding', 'telomeric G-quadruplex DNA binding', 'G-quadruplex DNA unwinding', 'strand displacement', 'mitotic G2 DNA damage checkpoint', 'four-way junction DNA binding', 'p53 binding', 'telomeric D-loop binding', 't-circle formation', 'double-strand break repair via synthesis-dependent strand annealing', 'positive regulation of double-strand break repair via homologous recombination', 'Y-form DNA binding', 'cellular response to ionizing radiation', 'four-way junction helicase activity', 'positive regulation of alpha-beta T cell proliferation', 'response to X-ray', 'cellular response to hydroxyurea', 'cytosol', 'forked DNA-dependent helicase activity', 'negative regulation of mitotic recombination', 'zinc ion binding', 'DNA strand renaturation', 'negative regulation of thymocyte apoptotic process', 'lateral element', 'pronucleus', 'positive regulation of transcription, DNA-templated', 'DNA synthesis involved in DNA repair', 'meiotic DNA double-strand break processing involved in reciprocal meiotic recombination', 'protein homooligomerization', 'regulation of cyclin-dependent protein serine/threonine kinase activity', 'PML body', 'ATP binding', 'replication fork processing', 'alpha-beta T cell differentiation']",3,0,2,3,0
50,CPNE6,"['extracellular exosome', 'plasma membrane', 'chemical synaptic transmission', 'vesicle-mediated transport', 'calcium ion binding', 'perikaryon', 'cellular response to calcium ion', 'endosome', 'clathrin-coated endocytic vesicle', 'glycerophospholipid biosynthetic process', 'phosphatidylserine binding', 'positive regulation of dendrite extension', 'transporter activity', 'protein binding', 'calcium-dependent phospholipid binding', 'dendrite', 'axon']",2,1,0,2,0
51,ATP1B2,"['cytoplasm', 'positive regulation of sodium ion export across plasma membrane', 'sodium:potassium-exchanging ATPase activity', 'ATPase activator activity', 'positive regulation of potassium ion transmembrane transporter activity', 'sodium:potassium-exchanging ATPase complex', 'positive regulation of potassium ion import across plasma membrane', 'cell adhesion', 'cellular potassium ion homeostasis', 'establishment or maintenance of transmembrane electrochemical gradient', 'positive regulation of ATPase activity', 'regulation of cardiac conduction', 'ATPase binding', 'protein stabilization', 'leukocyte migration', 'membrane repolarization', 'cell communication by electrical coupling involved in cardiac conduction', 'cellular sodium ion homeostasis', 'apical plasma membrane']",0,2,1,1,0
52,KRT6C,"['extracellular exosome', 'cornification', 'keratin filament', 'cytosol', 'intermediate filament cytoskeleton organization', 'protein binding', 'structural molecule activity']",0,0,2,1,0
53,NDRG2,"['growth cone', 'negative regulation of ERK1 and ERK2 cascade', 'substantia nigra development', 'extracellular exosome', 'nucleus', 'negative regulation of smooth muscle cell proliferation', 'negative regulation of cytokine production', 'regulation of vascular endothelial growth factor production', 'perinuclear region of cytoplasm', 'Golgi apparatus', 'cytosol', 'regulation of platelet-derived growth factor production', 'protein binding', 'Wnt signaling pathway', 'cell differentiation']",1,0,0,1,2
54,ITGB4,"['focal adhesion', 'cell leading edge', 'extracellular matrix organization', 'hemidesmosome', 'nail development', 'cell adhesion mediated by integrin', 'autophagy', 'extracellular exosome', 'cell-matrix adhesion', 'cell surface', 'hemidesmosome assembly', 'G protein-coupled receptor binding', 'renal system development', 'amelogenesis', 'integrin binding', 'cell migration', 'neuregulin binding', 'digestive tract development', 'integrin complex', 'response to wounding', 'insulin-like growth factor I binding', 'skin development', 'mesodermal cell differentiation', 'integrin-mediated signaling pathway']",2,0,3,1,3
55,ID1,"['cellular response to epidermal growth factor stimulus', 'cell-abiotic substrate adhesion', 'negative regulation of osteoblast differentiation', 'negative regulation of cold-induced thermogenesis', 'nucleoplasm', 'protein homodimerization activity', 'cellular response to peptide', 'negative regulation of apoptotic process', 'regulation of cell cycle', 'protein C-terminus binding', 'heart development', 'regulation of MAPK cascade', 'positive regulation of actin filament bundle assembly', 'regulation of angiogenesis', 'protein self-association', 'protein destabilization', 'blood vessel endothelial cell migration', 'negative regulation of protein homodimerization activity', 'negative regulation of transcription by transcription factor localization', 'cellular response to nerve growth factor stimulus', 'negative regulation of transcription by RNA polymerase II', 'protein N-terminus binding', 'circadian rhythm', 'cellular response to dopamine', 'lung morphogenesis', 'BMP signaling pathway', 'Golgi apparatus', 'proteasome binding', 'endothelial cell morphogenesis', 'brain development', 'negative regulation of DNA binding', 'negative regulation of dendrite morphogenesis', 'collagen metabolic process', 'response to antibiotic', 'RNA polymerase II transcription factor binding', 'negative regulation of DNA-binding transcription factor activity', 'positive regulation of gene expression', 'negative regulation of endothelial cell differentiation', 'lung vasculature development', 'centrosome', 'transforming growth factor beta receptor signaling pathway', 'positive regulation of epithelial cell proliferation', 'DNA-binding transcription factor activity, RNA polymerase II-specific']",2,1,2,3,3
56,NAALADL2,"['nucleoplasm', 'response to bacterium', 'integral component of membrane', 'protein binding']",1,0,0,1,0
