,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,PLEKHH2,"pleckstrin homology, MyTH4 and FERM domain containing H2 [Source:HGNC Symbol;Acc:HGNC:30506]","['actin binding', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0
46,SOX13,SRY-box transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:11192],"['identical protein binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'DNA-binding transcription repressor activity', 'transcription corepressor activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
47,NHLRC1,NHL repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21576],"['protein binding', 'ubiquitin protein ligase activity', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
48,ITGA11,integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136],"['collagen binding involved in cell-matrix adhesion', 'collagen receptor activity', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
49,NCLN,nicalin [Source:HGNC Symbol;Acc:HGNC:26923],['protein binding'],0,0,0,1,1,0,1,0,3,3
50,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470],"['ATP binding', 'calmodulin-dependent protein kinase activity', 'protein tyrosine kinase activity', 'calmodulin binding', 'calcium ion binding']",0,1,0,1,1,0,1,1,3,4
51,GCM2,glial cells missing transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:4198],"['metal ion binding', 'protein binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
52,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600],['ubiquitin binding'],0,0,0,0,0,0,0,0,0,0
53,HNF4G,hepatocyte nuclear factor 4 gamma [Source:HGNC Symbol;Acc:HGNC:5026],"['nuclear receptor activity', 'zinc ion binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
54,INHBA,inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066],"['type II activin receptor binding', 'growth factor activity', 'hormone activity', 'protein-containing complex binding', 'peptide hormone binding', 'identical protein binding', 'cytokine activity', 'inhibin binding']",0,0,0,0,0,0,0,0,0,0
55,DYM,dymeclin [Source:HGNC Symbol;Acc:HGNC:21317],['enzyme binding'],0,0,0,0,0,0,0,0,0,0
56,TNPO3,transportin 3 [Source:HGNC Symbol;Acc:HGNC:17103],"['nuclear import signal receptor activity', 'small GTPase binding', 'identical protein binding']",0,0,0,0,0,0,1,0,1,1
57,RTP4,receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992],['olfactory receptor binding'],0,0,0,0,0,0,0,0,0,0
58,CHST15,carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137],"['protein binding', 'N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity', ""3'-phosphoadenosine 5'-phosphosulfate binding""]",0,0,0,0,0,0,0,0,0,0
59,CDK1,cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722],"['RNA polymerase II CTD heptapeptide repeat kinase activity', 'histone kinase activity', 'ATP binding', 'virus receptor activity', 'cyclin binding', 'chromatin binding', 'Hsp70 protein binding', 'cyclin-dependent protein serine/threonine kinase activity']",0,0,0,0,0,0,1,0,1,1
60,MZT1,mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830],['protein binding'],0,0,0,0,0,0,0,0,0,0
61,STMN4,stathmin 4 [Source:HGNC Symbol;Acc:HGNC:16078],['tubulin binding'],0,0,0,1,0,0,0,0,1,1
62,SNRNP40,small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857],"['protein binding', 'RNA binding']",0,0,0,0,0,0,1,0,1,1
63,CRLF1,cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364],"['cytokine receptor activity', 'cytokine activity', 'ciliary neurotrophic factor receptor binding', 'cytokine binding']",0,0,0,0,0,0,0,0,0,0
64,MLLT3,MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136],"['lysine-acetylated histone binding', 'DNA binding', 'chromatin binding']",0,0,0,0,0,0,0,0,0,0
65,TRIM37,tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523],"['tumor necrosis factor receptor binding', 'zinc ion binding', 'ubiquitin protein ligase binding', 'chromatin binding', 'protein homodimerization activity', 'ubiquitin protein ligase activity']",0,1,0,0,0,0,0,1,0,1
66,MCM4,minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947],"['DNA replication origin binding', 'ATP binding', 'DNA helicase activity', 'single-stranded DNA binding', 'protein binding']",0,0,0,0,1,0,1,0,2,2
67,DDX24,DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266],"['RNA binding', 'RNA helicase activity', 'ATP binding']",0,0,0,0,0,0,0,0,0,0
68,TPST1,tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020],"['protein homodimerization activity', 'protein-tyrosine sulfotransferase activity']",0,0,0,0,0,0,0,0,0,0
69,NGEF,neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807],"['guanyl-nucleotide exchange factor activity', 'protein binding']",0,1,0,1,1,0,0,1,2,3
70,TNFAIP6,TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898],"['protein binding', 'hyaluronic acid binding']",0,0,0,0,0,0,0,0,0,0
71,GPR152,G protein-coupled receptor 152 [Source:HGNC Symbol;Acc:HGNC:23622],"['G protein-coupled receptor activity', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0
72,ZNF24,zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032],"['metal ion binding', 'identical protein binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
73,TPRKB,TP53RK binding protein [Source:HGNC Symbol;Acc:HGNC:24259],['protein kinase binding'],0,0,0,0,0,0,0,0,0,0
74,XXYLT1,xyloside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26639],"['UDP-xylosyltransferase activity', 'manganese ion binding', 'magnesium ion binding']",0,0,0,0,0,0,0,0,0,0
75,MAPKAPK2,MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887],"['protein serine kinase activity', 'mitogen-activated protein kinase binding', 'ATP binding', 'calmodulin-dependent protein kinase activity', 'calmodulin binding', 'calcium-dependent protein serine/threonine kinase activity', 'protein threonine kinase activity']",0,0,0,0,0,0,0,0,0,0
76,RPS6KA3,ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432],"['protein kinase binding', 'protein serine kinase activity', 'ATP binding', 'cysteine-type endopeptidase inhibitor activity involved in apoptotic process', 'ribosomal protein S6 kinase activity', 'magnesium ion binding', 'protein threonine kinase activity']",0,0,0,0,0,0,1,0,1,1
77,CHSY1,chondroitin sulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:17198],"['glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity', 'N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
78,ZFP91,"ZFP91 zinc finger protein, atypical E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:14983]","['metal ion binding', 'ubiquitin-protein transferase activity']",0,0,0,0,0,0,0,0,0,0
79,PLEKHG1,pleckstrin homology and RhoGEF domain containing G1 [Source:HGNC Symbol;Acc:HGNC:20884],['guanyl-nucleotide exchange factor activity'],0,0,0,0,0,0,0,0,0,0
80,MYL12A,myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701],"['protein binding', 'calcium ion binding']",0,0,0,0,0,1,1,0,2,2
81,UTP6,UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279],"['protein binding', 'snoRNA binding']",0,0,0,0,0,0,0,0,0,0
82,IRF4,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119],"['transcription factor binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific']",0,0,0,0,0,0,0,0,0,0
83,MC1R,melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929],"['ubiquitin protein ligase binding', 'melanocyte-stimulating hormone receptor activity']",0,0,0,0,0,0,0,0,0,0
84,FSCN1,fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148],"['protein-macromolecule adaptor activity', 'cadherin binding', 'actin filament binding', 'drug binding', 'RNA binding']",0,1,1,1,1,1,1,2,4,6
85,GAS8,growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166],"['small GTPase binding', 'microtubule binding']",0,0,0,0,0,0,0,0,0,0
86,GADD45A,growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095],"['protein N-terminus binding', 'promoter-specific chromatin binding', 'protein homodimerization activity', 'protein heterodimerization activity', 'kinase binding']",0,0,0,0,0,0,0,0,0,0
87,ARHGEF1,Rho guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:681],"['G protein-coupled receptor binding', 'guanyl-nucleotide exchange factor activity', 'RNA binding', 'GTPase activator activity']",0,0,0,0,0,0,0,0,0,0
88,ZNF558,zinc finger protein 558 [Source:HGNC Symbol;Acc:HGNC:26422],"['protein binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'RNA polymerase II transcription regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
89,KLK5,kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366],"['protein binding', 'serine-type endopeptidase activity']",0,0,0,0,0,0,0,0,0,0
90,SLC25A6,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992],"['protein binding', 'ATP:ADP antiporter activity']",0,0,0,0,0,1,1,0,2,2
91,CCDC22,coiled-coil domain containing 22 [Source:HGNC Symbol;Acc:HGNC:28909],['cullin family protein binding'],0,0,0,1,0,0,1,0,2,2
92,CHL1,cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939],['protease binding'],0,1,0,0,0,1,0,1,1,2
93,DHX9,DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750],"['double-stranded RNA binding', 'transcription coactivator activity', 'chromatin DNA binding', 'sequence-specific mRNA binding', 'RNA polymerase II transcription factor binding', ""3'-5' DNA/RNA helicase activity"", 'RNA polymerase II complex binding', 'importin-alpha family protein binding', 'metal ion binding', 'ATP binding', 'single-stranded RNA binding', 'triplex DNA binding', 'RISC complex binding', 'nucleoside-triphosphate diphosphatase activity', 'DNA replication origin binding', 'siRNA binding', ""3'-5' RNA helicase activity"", 'polysome binding', ""single-stranded 3'-5' DNA helicase activity"", 'promoter-specific chromatin binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'single-stranded DNA binding', 'regulatory region RNA binding', 'RNA stem-loop binding']",0,0,0,0,1,1,1,0,3,3
94,EIF3E,eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277],"['cadherin binding', 'protein N-terminus binding', 'translation initiation factor activity']",0,0,0,1,0,1,1,0,3,3
95,ASH2L,"ASH2 like, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]","['histone methyltransferase activity (H3-K4 specific)', 'euchromatin binding', 'transcription regulatory region sequence-specific DNA binding', 'beta-catenin binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
96,CDHR1,cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550],['calcium ion binding'],0,0,0,0,0,0,0,0,0,0
97,TNFRSF10D,TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907],"['transmembrane signaling receptor activity', 'TRAIL binding']",0,0,0,0,0,0,0,0,0,0
98,POLR1A,RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264],"['zinc ion binding', 'chromatin binding', 'protein binding', 'DNA binding', 'RNA polymerase I activity']",0,0,0,0,0,0,1,0,1,1
99,TDRD5,tudor domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20614],None,0,0,0,0,0,0,0,0,0,0
100,LPAR3,lysophosphatidic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:14298],"['phospholipid binding', 'lysophosphatidic acid receptor activity', 'G-protein alpha-subunit binding']",0,0,0,0,0,0,0,0,0,0
101,TBX4,T-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11603],"['DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
102,IL13RA1,interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974],"['oncostatin-M receptor activity', 'cytokine binding', 'ciliary neurotrophic factor receptor binding', 'leukemia inhibitory factor receptor activity']",0,0,0,0,0,0,0,0,0,0
103,HEATR3,HEAT repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:26087],['unfolded protein binding'],0,0,0,0,0,0,0,0,0,0
104,ZBED1,zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447],"['transcription coactivator activity', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'identical protein binding', 'protein dimerization activity', 'SUMO ligase activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
105,RAC3,Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803],"['protein kinase binding', 'calcium-dependent protein binding', 'GTP binding', 'GTPase activity']",0,0,0,1,1,1,1,0,4,4
106,VPS51,VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172],['protein binding'],0,0,0,1,1,1,1,0,4,4
107,LONRF1,LON peptidase N-terminal domain and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:26302],"['protein binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
108,S1PR3,sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167],"['integrin binding', 'lipid binding', 'sphingosine-1-phosphate receptor activity']",0,0,0,0,0,0,0,0,0,0
109,SOD2,superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180],"['manganese ion binding', 'enzyme binding', 'superoxide dismutase activity', 'oxygen binding', 'identical protein binding', 'DNA binding']",0,1,0,0,0,0,1,1,1,2
110,PALB2,partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144],"['protein binding', 'DNA binding']",0,0,0,0,0,0,0,0,0,0
111,CDKN1C,cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786],"['protein binding', 'protein-containing complex binding', 'cyclin-dependent protein serine/threonine kinase inhibitor activity']",0,0,0,0,0,0,0,0,0,0
112,NCBP1,nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658],"['mRNA binding', 'protein binding', 'RNA 7-methylguanosine cap binding']",0,0,0,0,0,0,1,0,1,1
113,CXADR,CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559],"['virus receptor activity', 'cell adhesive protein binding involved in AV node cell-bundle of His cell communication', 'integrin binding', 'beta-catenin binding', 'PDZ domain binding', 'connexin binding']",0,0,0,0,0,1,1,0,2,2
114,SMC1B,structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112],"['DNA binding', 'ATP binding']",0,0,0,0,0,0,1,0,1,1
115,XPR1,xenotropic and polytropic retrovirus receptor 1 [Source:HGNC Symbol;Acc:HGNC:12827],"['efflux transmembrane transporter activity', 'virus receptor activity', 'G protein-coupled receptor activity', 'inositol hexakisphosphate binding', 'phosphate ion transmembrane transporter activity']",0,0,0,0,0,1,1,0,2,2
116,NLRP12,NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938],"['protein binding', 'cysteine-type endopeptidase activator activity involved in apoptotic process', 'ATP binding']",0,0,0,0,0,0,0,0,0,0
117,GCC1,GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095],['small GTPase binding'],0,0,0,0,0,0,0,0,0,0
118,ISCA2,iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857],"['structural molecule activity', '4 iron, 4 sulfur cluster binding', '2 iron, 2 sulfur cluster binding', 'protein binding', 'iron ion binding']",0,0,0,0,0,0,0,0,0,0
119,AKAP12,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370],"['protein kinase A binding', 'calmodulin binding', 'adenylate cyclase binding']",0,1,0,0,1,1,1,1,3,4
120,LGALS4,galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565],"['protein binding', 'galactoside binding', 'carbohydrate binding']",0,0,0,0,0,0,0,0,0,0
