NGN2-Converted hiPSC Neurons Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
TUBB4B,P68371,Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1 - [TBB4B_HUMAN],77.75,6,2,44,1455,17459.01,77.75,44,719,2385.85,77.75,43,736,445,49.8,4.89,,,,,,,,
TUBA4A,A8MUB1,Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=2 SV=1 - [A8MUB1_HUMAN],65.36,11,6,30,1410,20886.39,63.05,28,692,2277.38,65.36,30,718,433,48.3,5.01,,,,,,,,
NEFL,P07196,Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3 - [NFL_HUMAN],78.82,2,55,60,1251,19553.63,78.82,59,622,1949.34,78.82,59,629,543,61.5,4.65,,,,,,,,
TUBB3,Q13509,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2 - [TBB3_HUMAN],75.56,12,17,39,1237,15750.89,75.56,38,613,1965.65,75.56,37,624,450,50.4,4.93,,,,,,,,
SPTAN1,Q13813-2,"Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 - [SPTN1_HUMAN]",66.29,4,204,204,1206,13426.33,66.05,196,596,1881.24,66.29,202,610,2477,284.9,5.35,,,,,,,,
SPTBN1,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2 - [SPTB2_HUMAN]",69.2,15,13,182,1183,12749.47,68.53,175,583,1794.51,69.16,180,600,2364,274.4,5.57,,,,,,,,
TUBB4A,P04350,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2 - [TBB4A_HUMAN],77.93,13,6,42,1156,13521.04,77.93,42,570,1881.63,77.93,40,586,444,49.6,4.88,,,,,,,,
SPTBN1,Q01082-3,"Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 - [SPTB2_HUMAN]",69.88,13,1,168,1099,11697.52,69.19,162,541,1653.4,69.84,166,558,2155,251.2,5.53,,,,,,,,
CLTC,Q00610-2,Isoform 2 of Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC - [CLH1_HUMAN],60.71,11,118,118,1048,12187.19,59.98,113,512,1645.37,60.4,116,536,1639,187.8,5.69,,,,,,,,
MAP1B,P46821,Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2 - [MAP1B_HUMAN],56.08,5,128,130,1015,13785.96,54.9,125,501,1647.65,55.96,128,514,2468,270.5,4.81,,,,,,,,
TUBA1C,Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1 - [TBA1C_HUMAN],74.83,14,2,38,1008,11257.12,74.83,36,495,1486.11,74.83,38,513,449,49.9,5.1,,,,,,,,
TUBA8,Q9NY65-2,Isoform 2 of Tubulin alpha-8 chain OS=Homo sapiens GN=TUBA8 - [TBA8_HUMAN],46.74,5,1,17,912,15079.29,46.74,17,452,1372.73,46.74,17,460,383,42.9,5.08,,,,,,,,
ACTC1,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1 - [ACTC_HUMAN]",70.82,12,1,33,889,7019.41,70.82,32,442,1116.07,68.44,31,447,377,42,5.39,,,,,,,,
VIM,P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN],83.91,12,57,67,866,8645.8,83.91,66,422,1311.41,82.4,66,444,466,53.6,5.12,,,,,,,,
ANK2,Q01484,Ankyrin-2 OS=Homo sapiens GN=ANK2 PE=1 SV=4 - [ANK2_HUMAN],52.57,33,162,176,861,8688.82,47.56,161,421,1270.96,51.98,172,440,3957,433.4,5.14,,,,,,,,
ACTA2,P62736,"Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1 - [ACTA_HUMAN]",70.82,10,1,32,828,6669.55,70.82,31,413,1030,68.44,30,415,377,42,5.39,,,,,,,,
MYH10,P35580-4,Isoform 4 of Myosin-10 OS=Homo sapiens GN=MYH10 - [MYH10_HUMAN],58.89,3,3,152,774,8426.6,57.6,145,385,1143.63,58.3,145,389,2007,232.4,5.55,,,,,,,,
MYH10,P35580,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3 - [MYH10_HUMAN],59.51,4,3,152,771,8382.14,58.55,145,384,1138.73,58.91,145,387,1976,228.9,5.54,,,,,,,,
TUBB6,Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1 - [TBB6_HUMAN],54.48,11,9,25,771,7977.81,54.48,25,376,1155.47,48.65,24,395,446,49.8,4.88,,,,,,,,
MYH9,P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],59.9,5,111,138,761,7910.87,57.19,130,376,1083.24,59.23,134,385,1960,226.4,5.6,,,,,,,,
HSP90AB1,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4 - [HS90B_HUMAN],75.69,5,42,68,746,8049.02,75.69,65,369,1116.3,70.86,66,377,724,83.2,5.03,,,,,,,,
HSP90AA1,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5 - [HS90A_HUMAN],72.27,13,43,67,666,7272.46,69.26,62,327,976.78,72.27,65,339,732,84.6,5.02,,,,,,,,
TUBB8,Q3ZCM7,Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=2 - [TBB8_HUMAN],29.28,5,2,15,630,5983.06,29.28,15,310,944.37,29.28,15,320,444,49.7,4.89,,,,,,,,
HSPA8,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1 - [HSP7C_HUMAN],65.63,16,37,43,590,6537.46,65.63,43,292,839.62,65.63,43,298,646,70.9,5.52,,,,,,,,
SPTBN2,O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3 - [SPTN2_HUMAN]",57.45,11,110,132,566,4694.37,54.06,122,279,780.71,56.61,129,287,2390,271.2,6.11,,,,,,,,
FASN,P49327,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3 - [FAS_HUMAN],46.67,5,101,101,555,5532.98,42.57,94,272,784.67,46.67,101,283,2511,273.3,6.44,,,,,,,,
PRPH,F8W835,Peripherin (Fragment) OS=Homo sapiens GN=PRPH PE=2 SV=2 - [F8W835_HUMAN],88.89,1,1,36,554,5143.95,88.89,36,272,806.56,83.09,35,282,207,24.5,4.89,,,,,,,,
NES,P48681,Nestin OS=Homo sapiens GN=NES PE=1 SV=2 - [NEST_HUMAN],50.59,4,85,85,534,6379.74,50.34,80,264,836.53,49.85,84,270,1621,177.3,4.36,,,,,,,,
DPYSL2,Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1 - [DPYL2_HUMAN],71.33,3,27,32,498,7536.19,68.53,31,245,890.19,71.33,32,253,572,62.3,6.38,,,,,,,,
KIF5C,O60282,Kinesin heavy chain isoform 5C OS=Homo sapiens GN=KIF5C PE=1 SV=1 - [KIF5C_HUMAN],73.35,4,52,73,433,4755.69,70.85,68,210,614.18,73.35,72,223,957,109.4,6.19,,,,,,,,
MYO5A,Q9Y4I1-2,Isoform 2 of Unconventional myosin-Va OS=Homo sapiens GN=MYO5A - [MYO5A_HUMAN],43.44,17,80,80,422,4101.16,42.61,79,208,609.78,41.74,77,214,1828,212.1,8.6,,,,,,,,
KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]",57.92,1,36,40,390,5416.52,57.92,40,194,611.49,57.92,39,196,644,66,8.12,,,,,,,,
,A6NKZ8,Putative tubulin beta chain-like protein ENSP00000290377 OS=Homo sapiens PE=5 SV=2 - [YI016_HUMAN],22.58,1,2,9,388,2950.52,20.16,8,192,572.51,22.58,9,196,372,41.7,4.87,,,,,,,,
ACTBL2,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2 - [ACTBL_HUMAN],41.22,1,5,16,383,3046.28,38.3,15,192,411.11,41.22,16,191,376,42,5.59,,,,,,,,
CNTN1,Q12860,Contactin-1 OS=Homo sapiens GN=CNTN1 PE=1 SV=1 - [CNTN1_HUMAN],51.77,8,52,52,376,3986.52,49.8,49,186,526.79,50.69,50,190,1018,113.2,5.9,,,,,,,,
ATP1A3,P13637,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Homo sapiens GN=ATP1A3 PE=1 SV=3 - [AT1A3_HUMAN],54.39,14,38,57,375,5459.55,53.5,56,186,573.06,54.39,55,189,1013,111.7,5.38,,,,,,,,
PRKDC,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3 - [PRKDC_HUMAN],29.02,5,112,112,374,3196.4,27.54,101,182,438.86,28.32,108,192,4128,468.8,7.12,,,,,,,,
FLNC,Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3 - [FLNC_HUMAN],47.45,2,85,95,371,3224.19,47.23,94,183,520.57,46.72,92,188,2725,290.8,5.97,,,,,,,,
DPYSL3,Q14195-2,Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 - [DPYL3_HUMAN],61.7,4,29,35,369,5362.54,61.7,34,179,636.06,61.7,35,190,684,73.9,6.35,,,,,,,,
GAPDH,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3 - [G3P_HUMAN],75.22,4,34,34,359,4355.62,74.03,32,177,610.56,74.03,33,182,335,36,8.46,,,,,,,,
PLEC,Q15149-7,Isoform 7 of Plectin OS=Homo sapiens GN=PLEC - [PLEC_HUMAN],30.79,21,107,112,345,2587.78,28.08,103,169,433.39,30.21,109,176,4515,512.3,5.77,,,,,,,,
EEF1A1,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 - [EF1A1_HUMAN],58.01,4,20,32,342,3272.03,58.01,32,162,546.68,58.01,32,180,462,50.1,9.01,,,,,,,,
POTEF,A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2 - [POTEF_HUMAN],8.74,2,2,9,337,3640.19,8.74,9,164,447.18,8.09,8,173,1075,121.4,6.2,,,,,,,,
CRMP1,Q14194-2,Isoform LCRMP-1 of Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 - [DPYL1_HUMAN],66.62,2,7,37,330,3926.24,60.06,35,163,550.84,66.62,36,167,686,74.2,6.86,,,,,,,,
HSPD1,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2 - [CH60_HUMAN]",73.47,8,44,44,328,4833.85,73.47,44,165,540.75,72.08,43,163,573,61,5.87,,,,,,,,
GAP43,P17677,Neuromodulin OS=Homo sapiens GN=GAP43 PE=1 SV=1 - [NEUM_HUMAN],91.18,3,32,32,326,4265.86,91.18,32,163,594.58,91.18,30,163,238,24.8,4.72,,,,,,,,
ATP5B,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 - [ATPB_HUMAN]",62.38,7,26,26,322,4397.43,62.38,26,160,552.06,62.38,26,162,529,56.5,5.4,,,,,,,,
EPB41L3,F5GX05,Band 4.1-like protein 3 OS=Homo sapiens GN=EPB41L3 PE=2 SV=1 - [F5GX05_HUMAN],63.42,12,3,52,321,4124.52,62.74,50,160,478.28,59.23,49,161,883,98.4,5.34,,,,,,,,
ATP5A1,P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1 - [ATPA_HUMAN]",65.1,9,38,38,320,4664.92,65.1,38,161,498.95,63.65,37,159,553,59.7,9.13,,,,,,,,
EEF2,P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4 - [EF2_HUMAN],46.04,1,42,42,316,3091.82,46.04,42,158,411.56,44.99,39,158,858,95.3,6.83,,,,,,,,
ACLY,P53396-2,Isoform 2 of ATP-citrate synthase OS=Homo sapiens GN=ACLY - [ACLY_HUMAN],45.92,6,45,45,316,3096.58,44.18,43,154,395.42,45.37,43,162,1091,119.7,7.33,,,,,,,,
CRMP1,Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=1 SV=1 - [DPYL1_HUMAN],64.51,2,1,31,310,3756.59,64.51,30,154,518.95,64.51,30,156,572,62.1,7.03,,,,,,,,
GNAO1,P09471,Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens GN=GNAO1 PE=1 SV=4 - [GNAO_HUMAN],52.54,6,20,23,310,3406.7,52.54,23,163,409.41,52.54,23,147,354,40,5.53,,,,,,,,
PKM,P14618,Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM PE=1 SV=4 - [KPYM_HUMAN],71,11,4,36,306,3925.68,71,36,150,521.61,70.06,35,156,531,57.9,7.84,,,,,,,,
EPB41L3,Q9Y2J2,Band 4.1-like protein 3 OS=Homo sapiens GN=EPB41L3 PE=1 SV=2 - [E41L3_HUMAN],52.16,11,1,52,303,3737.34,51.61,50,150,447.02,48.76,49,153,1087,120.6,5.19,,,,,,,,
CCT3,P49368,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4 - [TCPG_HUMAN],62.75,10,35,35,301,3152.44,61.65,34,145,428.3,62.75,35,156,545,60.5,6.49,,,,,,,,
UBA1,P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3 - [UBA1_HUMAN],40.08,7,39,39,299,3663.94,39.04,37,144,464.83,40.08,39,155,1058,117.8,5.76,,,,,,,,
HSPA5,P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2 - [GRP78_HUMAN],56.12,4,38,40,291,3479.16,56.12,39,144,450.47,55.66,39,147,654,72.3,5.16,,,,,,,,
PKM,P14618-2,Isoform M1 of Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM - [KPYM_HUMAN],67.42,12,4,36,283,3291.61,67.42,36,139,470.08,66.29,34,144,531,58,7.71,,,,,,,,
KRT2,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]",65.1,4,30,38,280,4113.17,65.1,38,138,402.25,65.1,38,142,639,65.4,8,,,,,,,,
MACF1,Q9UPN3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4 - [MACF1_HUMAN]",15.8,16,2,92,274,2546.63,14.4,82,134,382.38,15.2,87,140,7388,837.8,5.39,,,,,,,,
MACF1,H3BPE1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=2 SV=1 - [H3BPE1_HUMAN]",15.49,17,1,91,274,2544.94,14.15,82,134,383.97,14.9,86,140,7555,856.3,5.39,,,,,,,,
EPRS,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5 - [SYEP_HUMAN],47.62,1,65,65,273,2039.97,45.57,61,134,346.94,47.16,62,139,1512,170.5,7.33,,,,,,,,
KRT8,P05787,"Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7 - [K2C8_HUMAN]",61.08,19,34,42,269,2025.89,61.08,41,134,357.34,61.08,41,135,483,53.7,5.59,,,,,,,,
KRT10,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]",47.6,12,23,30,268,3308.85,47.6,30,132,389.39,47.6,30,136,584,58.8,5.21,,,,,,,,
HK1,P19367,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3 - [HXK1_HUMAN],50.16,12,51,55,267,2300.99,47.76,51,131,331.94,49.18,53,136,917,102.4,6.8,,,,,,,,
VCP,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4 - [TERA_HUMAN],65.51,7,54,54,258,2606.93,62.16,52,126,338.97,65.51,53,132,806,89.3,5.26,,,,,,,,
DBN1,Q16643,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4 - [DREB_HUMAN],53.78,7,2,40,257,2929.47,53.62,38,124,429.79,53.78,40,133,649,71.4,4.45,,,,,,,,
DBN1,A8MV58,Drebrin OS=Homo sapiens GN=DBN1 PE=2 SV=1 - [A8MV58_HUMAN],50.22,4,3,41,249,2921.2,48.63,38,122,415.73,50.22,40,127,695,76.3,4.51,,,,,,,,
PYGB,P11216,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5 - [PYGB_HUMAN]",54.92,5,40,46,244,1973.23,50.65,43,118,341.66,54.92,46,126,843,96.6,6.86,,,,,,,,
DCTN1,Q14203-6,Isoform 6 of Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 - [DCTN1_HUMAN],46.58,20,49,50,236,2523.47,44.3,48,115,344.44,45.55,49,121,1271,140.8,5.67,,,,,,,,
AP2B1,P63010,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1 - [AP2B1_HUMAN],47.17,11,22,44,232,1765.44,46.53,43,115,274.72,47.17,44,117,937,104.5,5.38,,,,,,,,
CCT2,P78371,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4 - [TCPB_HUMAN],71.21,4,35,35,231,3546.31,68.79,33,113,369.68,71.21,35,118,535,57.5,6.46,,,,,,,,
KRT9,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]",52.01,2,24,25,230,4177.08,52.01,25,114,377.33,52.01,25,116,623,62,5.24,,,,,,,,
GPRIN1,Q7Z2K8,G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens GN=GPRIN1 PE=2 SV=2 - [GRIN1_HUMAN],51.59,2,51,51,228,2468.41,50.89,49,111,371.58,50.79,50,117,1008,102.3,8.06,,,,,,,,
ACTN4,O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2 - [ACTN4_HUMAN],57.96,11,27,53,226,1905.68,52.58,50,108,318.42,57.3,52,118,911,104.8,5.44,,,,,,,,
HSPA4,P34932,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4 - [HSP74_HUMAN],55.36,1,35,38,226,2568.12,55.36,36,110,294.1,53.81,37,116,840,94.3,5.19,,,,,,,,
NSF,I3L0N3,Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=2 SV=1 - [I3L0N3_HUMAN],50.47,8,42,42,225,1925.55,48.44,40,111,249.78,47.23,39,114,739,82,6.81,,,,,,,,
HSPA9,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2 - [GRP75_HUMAN]",49.34,5,28,28,224,2520.35,49.34,28,112,287.87,49.34,28,112,679,73.6,6.16,,,,,,,,
CCT5,P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1 - [TCPE_HUMAN],64.14,7,31,32,222,1664.7,64.14,32,108,281.41,63.03,31,114,541,59.6,5.66,,,,,,,,
HUWE1,Q7Z6Z7-2,Isoform 2 of E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 - [HUWE1_HUMAN],18.24,8,55,55,221,2188.96,16.75,51,107,299.98,18.24,55,114,4358,479.9,5.24,,,,,,,,
HSPA1A,P08107,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5 - [HSP71_HUMAN],51.95,5,29,34,219,1886.15,47.43,31,106,269.79,51.95,34,113,641,70,5.66,,,,,,,,
ATP6V1A,B7Z1R5,V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=2 SV=1 - [B7Z1R5_HUMAN],54.79,4,29,29,217,2225.44,54.79,28,109,272.87,54.79,29,108,584,64.7,5.66,,,,,,,,
HSP90B1,P14625,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1 - [ENPL_HUMAN],49.44,4,36,38,217,2041.31,49.07,36,106,303.14,49.44,37,111,803,92.4,4.84,,,,,,,,
AP2A1,O95782-2,Isoform B of AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 - [AP2A1_HUMAN],50.37,5,32,43,213,1770.8,49.32,41,107,281.81,45.34,39,106,955,105.3,7.66,,,,,,,,
CCT4,P50991,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4 - [TCPD_HUMAN],66.23,4,30,31,210,2523.15,65.31,30,104,316.49,66.23,31,106,539,57.9,7.83,,,,,,,,
FSCN1,Q16658,Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3 - [FSCN1_HUMAN],72.41,5,34,34,209,2077.72,72.41,31,102,272.59,72.41,34,107,493,54.5,7.24,,,,,,,,
MAP1A,P78559,Microtubule-associated protein 1A OS=Homo sapiens GN=MAP1A PE=1 SV=6 - [MAP1A_HUMAN],23.72,4,48,50,207,1815.83,21.76,45,101,272.14,23.72,50,106,2803,305.3,4.92,,,,,,,,
AP2A2,O94973,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2 - [AP2A2_HUMAN],44.62,10,1,38,206,1662.87,43.66,37,102,282.67,44.62,38,104,939,103.9,6.96,,,,,,,,
CACNA2D1,P54289-3,Isoform 3 of Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 - [CA2D1_HUMAN],37.02,8,39,40,206,2478.34,35.91,39,104,316.48,37.02,40,102,1086,122.6,5.22,,,,,,,,
CKB,P12277,Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1 - [KCRB_HUMAN],66.67,5,21,21,204,2508.39,66.67,20,99,304.74,66.67,21,105,381,42.6,5.59,,,,,,,,
HNRNPM,P52272-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM - [HNRPM_HUMAN],57.45,11,35,35,203,2298.32,56.01,33,100,272.84,54.99,34,103,691,73.6,8.82,,,,,,,,
FN1,P02751-3,Isoform 3 of Fibronectin OS=Homo sapiens GN=FN1 - [FINC_HUMAN],35.92,20,55,55,203,2336.49,35.92,55,101,297.65,34.18,53,102,2355,259.1,5.73,,,,,,,,
MYO18A,Q92614-4,Isoform 4 of Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A - [MY18A_HUMAN],33.06,7,58,58,201,1566.57,30.7,53,96,286.01,32.37,56,105,2039,231.1,6.2,,,,,,,,
UBR4,Q5T4S7-3,Isoform 3 of E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 - [UBR4_HUMAN],14.94,9,60,61,201,1604.15,13.88,56,97,249.61,14.75,59,104,5159,571.5,6.04,,,,,,,,
AP2A2,O94973-2,Isoform 2 of AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 - [AP2A2_HUMAN],44.68,9,1,38,200,1644.88,43.72,37,99,273.81,44.68,38,101,940,104,6.86,,,,,,,,
CAND1,Q86VP6,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2 - [CAND1_HUMAN],37.24,6,40,44,200,1525.7,36.42,41,96,247.93,37.24,44,104,1230,136.3,5.78,,,,,,,,
STXBP1,P61764-2,Isoform 2 of Syntaxin-binding protein 1 OS=Homo sapiens GN=STXBP1 - [STXB1_HUMAN],53.4,2,31,31,197,1998.62,52.07,28,97,269.67,53.4,31,100,603,68.7,6.77,,,,,,,,
LRPPRC,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3 - [LPPRC_HUMAN]",36.3,3,48,48,197,2105.51,36.3,47,101,244.98,34.86,44,96,1394,157.8,6.13,,,,,,,,
PSMD2,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3 - [PSMD2_HUMAN],49.56,7,39,39,196,1588.6,49.23,35,94,253.18,49.56,39,102,908,100.1,5.2,,,,,,,,
