Fetal Human Brain Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
TUBA4A,A8MUB1,Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=2 SV=1 - [A8MUB1_HUMAN],55.66,11,4,24,859,11489.78,55.66,24,429,1142.8,55.66,24,430,433,48.3,5.01,,,,,,,,
CLTC,Q00610-2,Isoform 2 of Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC - [CLH1_HUMAN],46.74,11,78,78,735,8518.74,46.74,77,370,788.61,45.52,77,365,1639,187.8,5.69,,,,,,,,
ACTC1,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1 - [ACTC_HUMAN]",37.14,16,2,18,711,6071.03,37.14,18,366,596.29,37.14,18,345,377,42,5.39,,,,,,,,
DYNC1H1,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5 - [DYHC1_HUMAN],39.91,4,157,157,711,5744.44,39.07,152,354,535.82,38.61,153,357,4646,532.1,6.4,,,,,,,,
INA,Q16352,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=2 - [AINX_HUMAN],69.34,3,37,44,680,9659.56,69.34,43,336,856.98,67.54,42,344,499,55.4,5.4,,,,,,,,
ANK2,Q01484,Ankyrin-2 OS=Homo sapiens GN=ANK2 PE=1 SV=4 - [ANK2_HUMAN],39.12,35,108,119,550,5165.05,38.29,115,277,492.34,37.63,113,273,3957,433.4,5.14,,,,,,,,
,A6NKZ8,Putative tubulin beta chain-like protein ENSP00000290377 OS=Homo sapiens PE=5 SV=2 - [YI016_HUMAN],13.98,1,1,8,440,4569.62,13.98,8,217,497.56,13.98,8,223,372,41.7,4.87,,,,,,,,
DPYSL2,Q16555,Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1 - [DPYL2_HUMAN],58.74,3,23,28,425,5753.63,58.74,28,204,496.91,58.74,28,221,572,62.3,6.38,,,,,,,,
DPYSL3,Q14195-2,Isoform LCRMP-4 of Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 - [DPYL3_HUMAN],61.84,6,27,33,378,5862.42,61.84,32,182,451.01,61.84,33,196,684,73.9,6.35,,,,,,,,
NEFM,E7ESP9,Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=2 SV=1 - [E7ESP9_HUMAN],45.15,6,41,47,375,3415.95,45.15,47,187,422.78,44.93,45,188,877,98.3,4.86,,,,,,,,
ACTBL2,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2 - [ACTBL_HUMAN],26.33,1,2,8,341,2450.08,26.33,8,174,231.8,26.33,8,167,376,42,5.59,,,,,,,,
HSPA8,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1 - [HSP7C_HUMAN],48.3,16,27,30,322,3086.32,48.3,30,164,282.67,48.3,30,158,646,70.9,5.52,,,,,,,,
KRT1,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6 - [K2C1_HUMAN]",46.43,2,27,31,321,5031.37,46.43,30,162,328.85,46.43,31,159,644,66,8.12,,,,,,,,
GNAO1,P09471-2,Isoform Alpha-2 of Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens GN=GNAO1 - [GNAO_HUMAN],50,8,16,20,304,3004.77,49.15,19,157,268.85,50,20,147,354,40.1,5.9,,,,,,,,
MACF1,H3BQK9,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=2 SV=1 - [H3BQK9_HUMAN]",16.99,20,94,97,289,2110.13,15.96,92,144,198.24,16.14,92,145,7592,860.5,5.38,,,,,,,,
CRMP1,Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens GN=CRMP1 PE=1 SV=1 - [DPYL1_HUMAN],68.88,3,25,30,273,4035.61,68.88,30,136,315.35,63.46,29,137,572,62.1,7.03,,,,,,,,
POTEE,Q6S8J3,POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=1 SV=3 - [POTEE_HUMAN],11.26,6,2,11,264,3379.92,11.26,11,132,286.64,10.42,10,132,1075,121.3,6.2,,,,,,,,
CNTN1,Q12860,Contactin-1 OS=Homo sapiens GN=CNTN1 PE=1 SV=1 - [CNTN1_HUMAN],47.64,8,42,42,261,2005.41,46.37,40,133,207.31,47.54,40,128,1018,113.2,5.9,,,,,,,,
ATP5B,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 - [ATPB_HUMAN]",53.5,7,20,20,243,2707.14,53.5,20,123,239.71,53.5,19,120,529,56.5,5.4,,,,,,,,
MYH10,P35580,Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3 - [MYH10_HUMAN],34.41,6,48,60,236,1823.61,33.4,58,117,138.39,32.39,56,119,1976,228.9,5.54,,,,,,,,
NEFL,P07196,Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3 - [NFL_HUMAN],54.88,3,29,34,225,2539.89,49.72,32,110,216.59,54.88,34,115,543,61.5,4.65,,,,,,,,
SPTBN2,O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3 - [SPTN2_HUMAN]",35.9,6,55,67,220,1657.41,34.85,65,111,147.92,33.68,64,109,2390,271.2,6.11,,,,,,,,
KRT10,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 - [K1C10_HUMAN]",42.98,18,23,28,207,2590.56,42.98,28,104,197.85,42.98,28,103,584,58.8,5.21,,,,,,,,
CACNA2D1,P54289-3,Isoform 3 of Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 - [CA2D1_HUMAN],32.14,8,32,32,205,2043.38,32.14,32,102,173.27,32.14,32,103,1086,122.6,5.22,,,,,,,,
GNAI2,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens GN=GNAI2 PE=1 SV=3 - [GNAI2_HUMAN],59.15,13,15,22,204,2119.61,59.15,22,105,205.77,59.15,22,99,355,40.4,5.54,,,,,,,,
HSP90AA1,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5 - [HS90A_HUMAN],38.25,15,19,30,196,1808.08,38.25,30,98,158.3,38.25,29,98,732,84.6,5.02,,,,,,,,
NES,P48681,Nestin OS=Homo sapiens GN=NES PE=1 SV=2 - [NEST_HUMAN],32.63,1,45,45,196,2291.73,30.23,42,97,198.27,32.02,44,99,1621,177.3,4.36,,,,,,,,
KRT2,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]",61.03,6,22,29,192,2684.81,61.03,29,99,180.63,50.86,27,93,639,65.4,8,,,,,,,,
HIST1H2BD,P58876,Histone H2B type 1-D OS=Homo sapiens GN=HIST1H2BD PE=1 SV=2 - [H2B1D_HUMAN],69.05,12,5,14,190,3161.18,69.05,14,96,194,69.05,14,94,126,13.9,10.32,,,,,,,,
HIST1H2BO,P23527,Histone H2B type 1-O OS=Homo sapiens GN=HIST1H2BO PE=1 SV=3 - [H2B1O_HUMAN],69.05,8,4,13,190,3127.99,69.05,12,95,182.09,69.05,13,95,126,13.9,10.32,,,,,,,,
GAP43,P17677,Neuromodulin OS=Homo sapiens GN=GAP43 PE=1 SV=1 - [NEUM_HUMAN],89.5,3,22,22,184,2060.02,88.24,21,94,225.14,86.97,21,90,238,24.8,4.72,,,,,,,,
DBN1,A8MV58,Drebrin OS=Homo sapiens GN=DBN1 PE=2 SV=1 - [A8MV58_HUMAN],43.88,4,2,26,178,1804.14,35.97,21,86,201.31,43.88,26,92,695,76.3,4.51,,,,,,,,
MAP2,P11137-3,Isoform 3 of Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 - [MAP2_HUMAN],35.11,7,44,44,177,1259.11,34.5,42,88,109.75,34.17,43,89,1823,199,4.91,,,,,,,,
DBN1,Q16643,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4 - [DREB_HUMAN],47,7,2,26,176,1792.99,38.37,20,85,198.75,47,26,91,649,71.4,4.45,,,,,,,,
BASP1,P80723,Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2 - [BASP1_HUMAN],85.9,2,21,21,172,1800.34,85.9,21,86,213.97,85.9,20,86,227,22.7,4.63,,,,,,,,
GNB1,P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3 - [GBB1_HUMAN],67.35,9,9,15,162,2097.83,67.35,15,78,178.81,67.35,15,84,340,37.4,6,,,,,,,,
HSP90AB1,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4 - [HS90B_HUMAN],39.23,9,18,31,162,1759.63,36.88,29,80,140.78,39.23,31,82,724,83.2,5.03,,,,,,,,
HNRNPA2B1,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN],64.02,2,17,20,161,2046.51,64.02,20,82,135.94,64.02,20,79,353,37.4,8.95,,,,,,,,
KRT9,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 - [K1C9_HUMAN]",55.7,2,23,24,159,1980.95,53.29,23,80,152.1,55.7,24,79,623,62,5.24,,,,,,,,
GNAI1,P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens GN=GNAI1 PE=1 SV=2 - [GNAI1_HUMAN],42.94,10,10,17,154,1654.32,42.94,17,81,142.7,42.94,16,73,354,40.3,5.97,,,,,,,,
EEF1A1,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 - [EF1A1_HUMAN],49.13,4,12,19,154,1576.26,49.13,17,76,175.98,49.13,19,78,462,50.1,9.01,,,,,,,,
MYO5A,Q9Y4I1-2,Isoform 2 of Unconventional myosin-Va OS=Homo sapiens GN=MYO5A - [MYO5A_HUMAN],24.12,16,35,40,150,1020.74,24.12,40,74,85.22,23.63,39,76,1828,212.1,8.6,,,,,,,,
ATP5A1,P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1 - [ATPA_HUMAN]",49.91,9,27,27,142,1592.24,49.91,26,70,150.93,48.82,26,72,553,59.7,9.13,,,,,,,,
FASN,P49327,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3 - [FAS_HUMAN],25.21,2,46,46,142,1157.19,23.86,43,71,99.81,23.42,40,71,2511,273.3,6.44,,,,,,,,
HIST1H2AB,P04908,Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2 - [H2A1B_HUMAN],43.08,10,2,9,139,1314.31,43.08,9,70,164.61,43.08,9,69,130,14.1,11.05,,,,,,,,
DPYSL5,Q9BPU6,Dihydropyrimidinase-related protein 5 OS=Homo sapiens GN=DPYSL5 PE=1 SV=1 - [DPYL5_HUMAN],51.42,4,22,22,138,1030.5,51.42,21,69,118.91,51.42,22,69,564,61.4,7.2,,,,,,,,
GNB2,P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3 - [GBB2_HUMAN],43.82,11,5,11,129,1437.65,43.82,11,64,114.1,43.82,11,65,340,37.3,6,,,,,,,,
NCAM1,P13591-1,Isoform 2 of Neural cell adhesion molecule 1 OS=Homo sapiens GN=NCAM1 - [NCAM1_HUMAN],31.13,8,20,20,124,1302.99,31.13,20,64,99.71,29.25,19,60,848,93.3,4.87,,,,,,,,
HNRNPK,Q5T6W5,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=2 SV=1 - [Q5T6W5_HUMAN],50,6,19,19,124,1391.94,47.66,18,62,113.09,50,19,62,428,47.5,5.63,,,,,,,,
AP2B1,P63010,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1 - [AP2B1_HUMAN],31.27,11,15,28,123,966.85,31.27,28,60,82.3,30.63,27,63,937,104.5,5.38,,,,,,,,
HIST1H2AH,Q96KK5,Histone H2A type 1-H OS=Homo sapiens GN=HIST1H2AH PE=1 SV=3 - [H2A1H_HUMAN],43.75,16,2,9,122,1222.83,43.75,9,61,158.66,43.75,9,61,128,13.9,10.89,,,,,,,,
PRKDC,E7EUY0,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=2 SV=1 - [E7EUY0_HUMAN],12.52,3,44,44,121,753.98,11.79,41,60,60.12,12.16,41,61,4096,465.1,7.17,,,,,,,,
AP2A2,O94973,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2 - [AP2A2_HUMAN],37.91,12,19,27,121,986.56,35.14,26,62,85.46,37.91,26,59,939,103.9,6.96,,,,,,,,
HSPA1A,P08107,Heat shock 70 kDa protein 1A/1B OS=Homo sapiens GN=HSPA1A PE=1 SV=5 - [HSP71_HUMAN],35.26,5,20,22,114,1187.92,35.26,22,58,112.56,34.79,21,56,641,70,5.66,,,,,,,,
GNAI3,P08754,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3 - [GNAI3_HUMAN],42.94,7,8,15,114,902.67,42.94,15,59,98.49,42.94,14,55,354,40.5,5.69,,,,,,,,
HNRNPU,Q00839-2,Isoform Short of Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU - [HNRPU_HUMAN],27.54,3,22,22,113,1138.91,27.54,22,56,94.28,27.42,21,57,806,88.9,5.78,,,,,,,,
LMNB1,P20700,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2 - [LMNB1_HUMAN],44.37,5,22,26,112,741.39,44.37,26,57,67.95,43,25,55,586,66.4,5.16,,,,,,,,
CEP170,Q5SW79,Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1 - [CE170_HUMAN],27.65,19,2,34,112,538.12,24.75,30,52,58.71,27.65,34,60,1584,175.2,7.11,,,,,,,,
RTN4,Q9NQC3,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2 - [RTN4_HUMAN],22.82,9,18,18,112,759.82,22.82,18,50,110.81,22.82,18,62,1192,129.9,4.5,,,,,,,,
MATR3,P43243,Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2 - [MATR3_HUMAN],26.68,19,17,17,111,666.6,26.68,17,55,62.72,26.68,17,56,847,94.6,6.25,,,,,,,,
CEP170,H0Y2V6,Centrosomal protein of 170 kDa (Fragment) OS=Homo sapiens GN=CEP170 PE=4 SV=1 - [H0Y2V6_HUMAN],26.77,14,1,33,109,479.55,23.81,29,51,54.04,26.77,33,58,1558,172,7.36,,,,,,,,
ADD1,P35611-2,Isoform 2 of Alpha-adducin OS=Homo sapiens GN=ADD1 - [ADDA_HUMAN],42.63,12,18,19,109,891.17,41.2,17,53,94.67,41.84,18,56,631,69.9,6.46,,,,,,,,
HIST1H1E,P10412,Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2 - [H14_HUMAN],32.88,4,8,16,106,1298.8,32.88,16,53,97.36,32.88,16,53,219,21.9,11.03,,,,,,,,
VCP,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4 - [TERA_HUMAN],42.18,7,29,29,105,888.94,39.45,26,52,83.37,39.33,28,53,806,89.3,5.26,,,,,,,,
KRT6A,P02538,"Keratin, type II cytoskeletal 6A OS=Homo sapiens GN=KRT6A PE=1 SV=3 - [K2C6A_HUMAN]",26.95,10,5,18,105,1117.86,26.95,18,53,96.06,26.95,18,52,564,60,8,,,,,,,,
KRT16,P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4 - [K1C16_HUMAN]",39.96,21,11,18,104,1049.09,39.96,18,52,75.47,39.96,18,52,473,51.2,5.05,,,,,,,,
CTNNA2,P26232-2,Isoform 2 of Catenin alpha-2 OS=Homo sapiens GN=CTNNA2 - [CTNA2_HUMAN],41.55,9,22,27,104,880.96,41.55,27,55,71.88,40.88,26,49,905,100.4,5.96,,,,,,,,
GPRIN1,Q7Z2K8,G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens GN=GPRIN1 PE=2 SV=2 - [GRIN1_HUMAN],38.49,2,31,31,103,674.95,34.62,28,50,56.69,38.1,30,53,1008,102.3,8.06,,,,,,,,
CCT4,B7Z9L0,T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=2 SV=1 - [B7Z9L0_HUMAN],56.73,4,21,22,102,703.12,53.83,20,50,65.67,56.73,22,52,483,52.3,6.57,,,,,,,,
CCT2,P78371,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4 - [TCPB_HUMAN],45.42,4,18,18,102,1290,45.42,18,52,97.73,45.42,18,50,535,57.5,6.46,,,,,,,,
HNRNPR,O43390,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1 - [HNRPR_HUMAN],34.91,4,15,20,101,827.87,34.91,20,49,87.93,34.91,20,52,633,70.9,8.13,,,,,,,,
ACTN4,O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2 - [ACTN4_HUMAN],37.87,13,11,29,101,1047.95,35.89,27,50,79.36,37.87,29,51,911,104.8,5.44,,,,,,,,
GNAS,P63092,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Homo sapiens GN=GNAS PE=1 SV=1 - [GNAS2_HUMAN],39.09,13,10,16,100,664.17,38.83,15,49,71.97,39.09,16,51,394,45.6,5.82,,,,,,,,
UBC,F5H265,Polyubiquitin-C (Fragment) OS=Homo sapiens GN=UBC PE=2 SV=1 - [F5H265_HUMAN],96.64,29,11,11,99,488.51,96.64,11,48,72.69,96.64,10,51,149,16.8,6.58,,,,,,,,
AP2A1,O95782-2,Isoform B of AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 - [AP2A1_HUMAN],31.73,5,17,25,99,695.29,31.73,25,51,68.72,30.68,24,48,955,105.3,7.66,,,,,,,,
KRT6B,P04259,"Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5 - [K2C6B_HUMAN]",23.76,8,1,14,99,1132.4,23.76,14,50,93.67,23.76,14,49,564,60,8,,,,,,,,
PRKAR2B,P31323,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens GN=PRKAR2B PE=1 SV=3 - [KAP3_HUMAN],42.34,1,13,16,99,1197.44,40.43,15,49,86.15,42.34,16,50,418,46.3,4.92,,,,,,,,
CAMK2B,Q13554-8,Isoform 8 of Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Homo sapiens GN=CAMK2B - [KCC2B_HUMAN],41.39,18,9,16,98,975.93,41.39,16,48,77.86,41.39,16,50,517,57.9,7.28,,,,,,,,
HK1,P19367-4,Isoform 4 of Hexokinase-1 OS=Homo sapiens GN=HK1 - [HXK1_HUMAN],31.16,11,25,25,97,929.87,31.16,25,48,71.72,31.16,25,49,905,101,6.9,,,,,,,,
DES,P17661,Desmin OS=Homo sapiens GN=DES PE=1 SV=3 - [DESM_HUMAN],12.34,1,2,8,96,651.86,10.21,7,47,115.45,9.36,7,49,470,53.5,5.27,,,,,,,,
YWHAZ,P63104,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1 - [1433Z_HUMAN],50.61,11,12,15,96,1088.68,50.61,14,47,89.49,50.61,15,49,245,27.7,4.79,,,,,,,,
SRCIN1,Q9C0H9-5,Isoform 4 of SRC kinase signaling inhibitor 1 OS=Homo sapiens GN=SRCIN1 - [SRCN1_HUMAN],36.6,7,30,30,93,684.08,35.76,29,47,49.4,33.56,28,46,1183,127,9.38,,,,,,,,
KRT5,P13647,"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3 - [K2C5_HUMAN]",25.25,13,9,17,92,910.09,25.25,17,46,75.34,25.25,17,46,590,62.3,7.74,,,,,,,,
HIST1H1B,P16401,Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3 - [H15_HUMAN],40.71,1,11,15,91,1014.95,40.71,15,47,88.52,31.86,13,44,226,22.6,10.92,,,,,,,,
HNRNPA1,P09651-3,Isoform 2 of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 - [ROA1_HUMAN],71.54,10,13,16,90,808.83,71.54,16,46,72.8,71.54,16,44,267,29.4,9.14,,,,,,,,
ADD2,P35612,Beta-adducin OS=Homo sapiens GN=ADD2 PE=1 SV=3 - [ADDB_HUMAN],34.57,11,17,18,89,701.72,30.3,17,42,60.45,34.57,18,47,726,80.8,5.92,,,,,,,,
ANK3,Q12955,Ankyrin-3 OS=Homo sapiens GN=ANK3 PE=1 SV=3 - [ANK3_HUMAN],8.45,7,17,28,89,609.56,8.18,26,43,49.77,8.16,26,46,4377,480.1,6.49,,,,,,,,
DCTN1,Q14203-6,Isoform 6 of Dynactin subunit 1 OS=Homo sapiens GN=DCTN1 - [DCTN1_HUMAN],25.33,21,26,27,88,649.64,25.33,27,44,58.67,25.33,26,44,1271,140.8,5.67,,,,,,,,
KIF5C,O60282,Kinesin heavy chain isoform 5C OS=Homo sapiens GN=KIF5C PE=1 SV=1 - [KIF5C_HUMAN],36.78,6,21,27,87,864.57,33.54,25,43,57.14,36.78,26,44,957,109.4,6.19,,,,,,,,
PRPH,P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2 - [PERI_HUMAN],20.64,4,5,11,86,1066.37,20.64,11,42,86.51,20.64,11,44,470,53.6,5.47,,,,,,,,
DCX,O43602-2,Isoform 2 of Neuronal migration protein doublecortin OS=Homo sapiens GN=DCX - [DCX_HUMAN],55.28,7,13,17,85,1068.29,53.61,16,43,70.93,55.28,17,42,360,40,9.39,,,,,,,,
ALB,P02768,Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2 - [ALBU_HUMAN],37.11,7,22,22,84,696.91,34.98,20,42,52.37,32.35,20,42,609,69.3,6.28,,,,,,,,
XRCC6,P12956,X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2 - [XRCC6_HUMAN],33.66,4,18,18,84,499.12,30.54,16,41,47.54,33.66,17,43,609,69.8,6.64,,,,,,,,
CKAP5,Q14008-2,Isoform 2 of Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5 - [CKAP5_HUMAN],17.7,7,27,27,84,561.81,17.7,27,43,36.34,17.04,25,41,1972,218.4,8.06,,,,,,,,
CCT3,B4DUR8,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=2 SV=1 - [B4DUR8_HUMAN],40,8,18,18,83,554.08,38.6,17,41,61.25,37.8,17,42,500,55.6,5.64,,,,,,,,
DCLK1,O15075,Serine/threonine-protein kinase DCLK1 OS=Homo sapiens GN=DCLK1 PE=1 SV=2 - [DCLK1_HUMAN],37.16,5,18,21,81,573.05,36.08,19,40,64.25,34.19,19,41,740,82.2,8.66,,,,,,,,
CORO1C,Q9ULV4,Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1 - [COR1C_HUMAN],34.81,19,17,17,81,728.22,34.81,17,41,68.47,33.12,16,40,474,53.2,7.08,,,,,,,,
KRT14,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4 - [K1C14_HUMAN]",25.85,20,3,13,78,791.95,25.85,13,40,57.69,25.85,13,38,472,51.5,5.16,,,,,,,,
